date,Close,High,Low,Open
2026-04-02 13:30:00+00:00,253.2,254.72,252.985,254.185
2026-04-02 13:31:00+00:00,252.885,253.325,252.875,253.195
2026-04-02 13:32:00+00:00,252.415,252.945,252.3,252.93
2026-04-02 13:33:00+00:00,252.585,252.79,252.12,252.45
2026-04-02 13:34:00+00:00,252.145,252.875,252.14,252.56
2026-04-02 13:35:00+00:00,251.78,252.175,251.515,252.175
2026-04-02 13:36:00+00:00,251.44,251.83,251.375,251.805
2026-04-02 13:37:00+00:00,251.42,251.535,251.11,251.465
2026-04-02 13:38:00+00:00,250.965,252.36,250.905,251.42
2026-04-02 13:39:00+00:00,250.88,251.05,250.8,250.995
2026-04-02 13:40:00+00:00,250.82,251.09,250.665,250.89
2026-04-02 13:41:00+00:00,251.545,251.545,250.78,250.805
2026-04-02 13:42:00+00:00,251.165,251.57,251.095,251.57
2026-04-02 13:43:00+00:00,250.74,251.265,250.655,251.2
2026-04-02 13:44:00+00:00,250.835,250.945,250.68,250.74
2026-04-02 13:45:00+00:00,251.075,251.23,250.695,250.84
2026-04-02 13:46:00+00:00,251.325,251.41,250.965,251.065
2026-04-02 13:47:00+00:00,251.39,251.455,251.26,251.295
2026-04-02 13:48:00+00:00,251.59,251.665,251.25,251.34
2026-04-02 13:49:00+00:00,251.66,251.83,251.61,251.755
2026-04-02 13:50:00+00:00,252.0,252.085,251.66,251.685
2026-04-02 13:51:00+00:00,252.01,252.18,251.875,251.99
2026-04-02 13:52:00+00:00,251.97,252.225,251.94,252.005
2026-04-02 13:53:00+00:00,252.17,252.34,251.935,251.97
2026-04-02 13:54:00+00:00,252.24,252.52,252.11,252.145
2026-04-02 13:55:00+00:00,252.34,252.345,252.145,252.24
2026-04-02 13:56:00+00:00,252.185,252.41,252.16,252.335
2026-04-02 13:57:00+00:00,252.365,252.41,252.06,252.185
2026-04-02 13:58:00+00:00,252.545,252.645,252.31,252.365
2026-04-02 13:59:00+00:00,252.585,252.665,252.45,252.54
2026-04-02 14:00:00+00:00,252.515,252.815,252.435,252.585
2026-04-02 14:01:00+00:00,252.0,252.63,252.0,252.51
2026-04-02 14:02:00+00:00,251.875,252.045,251.78,252.02
2026-04-02 14:03:00+00:00,251.49,251.9,251.3,251.885
2026-04-02 14:04:00+00:00,251.415,251.64,251.375,251.495
2026-04-02 14:05:00+00:00,251.575,251.645,251.185,251.41
2026-04-02 14:06:00+00:00,251.905,251.905,251.49,251.575
2026-04-02 14:07:00+00:00,251.605,251.935,251.585,251.915
2026-04-02 14:08:00+00:00,251.73,251.785,251.43,251.6
2026-04-02 14:09:00+00:00,251.675,251.795,251.63,251.725
2026-04-02 14:10:00+00:00,251.84,251.9,251.61,251.67
2026-04-02 14:11:00+00:00,252.06,252.2,251.855,251.865
2026-04-02 14:12:00+00:00,252.12,252.14,251.95,252.09
2026-04-02 14:13:00+00:00,252.02,252.2,251.895,252.12
2026-04-02 14:14:00+00:00,252.05,252.28,251.96,252.03
2026-04-02 14:15:00+00:00,252.23,252.255,252.01,252.04
2026-04-02 14:16:00+00:00,252.15,252.48,252.105,252.205
2026-04-02 14:17:00+00:00,252.26,252.295,252.1,252.155
2026-04-02 14:18:00+00:00,252.19,252.25,251.63,252.245
2026-04-02 14:19:00+00:00,252.145,252.34,251.615,252.185
2026-04-02 14:20:00+00:00,251.955,252.37,251.94,252.135
2026-04-02 14:21:00+00:00,252.285,252.32,251.955,251.96
2026-04-02 14:22:00+00:00,251.89,252.275,251.85,252.225
2026-04-02 14:23:00+00:00,252.02,252.055,251.46,251.885
2026-04-02 14:24:00+00:00,251.99,252.18,251.905,252.02
2026-04-02 14:25:00+00:00,252.235,252.25,251.98,251.985
2026-04-02 14:26:00+00:00,252.145,252.315,251.575,252.125
2026-04-02 14:27:00+00:00,252.125,252.325,252.02,252.145
2026-04-02 14:28:00+00:00,252.275,252.33,252.05,252.14
2026-04-02 14:29:00+00:00,252.105,252.29,252.02,252.29
2026-04-02 14:30:00+00:00,252.23,252.3,251.995,252.105
2026-04-02 14:31:00+00:00,252.215,252.485,252.215,252.3
2026-04-02 14:32:00+00:00,252.68,252.745,252.18,252.215
2026-04-02 14:33:00+00:00,252.87,252.945,252.65,252.685
2026-04-02 14:34:00+00:00,252.65,252.925,251.93,252.835
2026-04-02 14:35:00+00:00,253.35,253.35,252.635,252.65
2026-04-02 14:36:00+00:00,253.865,254.14,253.065,253.125
2026-04-02 14:37:00+00:00,254.1,254.44,253.805,253.86
2026-04-02 14:38:00+00:00,253.47,253.945,253.45,253.935
2026-04-02 14:39:00+00:00,254.055,254.17,253.375,253.47
2026-04-02 14:40:00+00:00,253.81,254.095,253.78,254.025
2026-04-02 14:41:00+00:00,253.4,254.03,253.28,253.85
2026-04-02 14:42:00+00:00,253.755,253.845,253.4,253.4
2026-04-02 14:43:00+00:00,253.985,254.02,253.64,253.69
2026-04-02 14:44:00+00:00,253.97,254.07,253.71,253.985
2026-04-02 14:45:00+00:00,253.97,254.085,253.815,253.94
2026-04-02 14:46:00+00:00,253.885,254.035,253.795,253.97
2026-04-02 14:47:00+00:00,254.085,254.155,253.81,253.88
2026-04-02 14:48:00+00:00,254.04,254.13,253.885,254.06
2026-04-02 14:49:00+00:00,254.19,254.335,254.01,254.04
2026-04-02 14:50:00+00:00,254.235,254.395,253.995,254.205
2026-04-02 14:51:00+00:00,254.095,254.28,253.98,254.18
2026-04-02 14:52:00+00:00,254.475,254.48,254.045,254.11
2026-04-02 14:53:00+00:00,254.405,254.645,254.265,254.47
2026-04-02 14:54:00+00:00,254.64,254.71,254.39,254.395
2026-04-02 14:55:00+00:00,255.0,255.03,254.575,254.63
2026-04-02 14:56:00+00:00,255.035,255.99,254.975,255.0
2026-04-02 14:57:00+00:00,255.2,255.315,254.985,255.035
2026-04-02 14:58:00+00:00,255.23,256.09,255.085,255.205
2026-04-02 14:59:00+00:00,255.38,255.385,255.08,255.235
2026-04-02 15:00:00+00:00,255.17,255.48,255.125,255.38
2026-04-02 15:01:00+00:00,255.24,255.405,255.155,255.165
2026-04-02 15:02:00+00:00,255.17,255.335,255.125,255.315
2026-04-02 15:03:00+00:00,255.475,255.48,255.07,255.175
2026-04-02 15:04:00+00:00,255.67,255.72,255.395,255.435
2026-04-02 15:05:00+00:00,255.335,255.715,255.29,255.65
2026-04-02 15:06:00+00:00,255.15,256.14,255.11,255.295
2026-04-02 15:07:00+00:00,255.26,255.365,255.145,255.15
2026-04-02 15:08:00+00:00,255.46,255.535,255.26,255.26
2026-04-02 15:09:00+00:00,255.42,255.49,255.305,255.49
2026-04-02 15:10:00+00:00,255.445,255.505,255.155,255.425
2026-04-02 15:11:00+00:00,255.405,255.605,255.375,255.44
2026-04-02 15:12:00+00:00,255.465,255.64,255.39,255.405
2026-04-02 15:13:00+00:00,255.145,256.24,255.14,255.495
2026-04-02 15:14:00+00:00,254.975,255.15,254.85,255.145
2026-04-02 15:15:00+00:00,254.99,255.13,254.925,254.965
2026-04-02 15:16:00+00:00,255.04,255.115,254.925,254.99
2026-04-02 15:17:00+00:00,254.845,255.105,254.82,255.04
2026-04-02 15:18:00+00:00,254.92,255.025,254.745,254.76
2026-04-02 15:19:00+00:00,254.915,255.05,254.825,254.925
2026-04-02 15:20:00+00:00,254.67,254.94,254.565,254.94
2026-04-02 15:21:00+00:00,254.61,254.81,254.48,254.67
2026-04-02 15:22:00+00:00,254.505,254.745,254.42,254.61
2026-04-02 15:23:00+00:00,254.555,254.61,254.49,254.505
2026-04-02 15:24:00+00:00,254.74,254.78,254.53,254.56
2026-04-02 15:25:00+00:00,254.625,254.765,254.465,254.74
2026-04-02 15:26:00+00:00,254.925,255.025,254.595,254.625
2026-04-02 15:27:00+00:00,255.125,255.14,254.895,254.925
2026-04-02 15:28:00+00:00,255.205,256.055,255.08,255.125
2026-04-02 15:29:00+00:00,255.135,255.215,255.05,255.19
2026-04-02 15:30:00+00:00,255.085,256.05,255.0,255.145
2026-04-02 15:31:00+00:00,254.925,255.09,254.85,255.09
2026-04-02 15:32:00+00:00,254.89,255.025,254.825,254.925
2026-04-02 15:33:00+00:00,254.76,254.935,254.72,254.885
2026-04-02 15:34:00+00:00,254.84,254.89,254.635,254.78
2026-04-02 15:35:00+00:00,254.82,254.92,254.685,254.85
2026-04-02 15:36:00+00:00,255.045,255.055,254.76,254.83
2026-04-02 15:37:00+00:00,255.085,255.185,254.955,255.04
2026-04-02 15:38:00+00:00,255.045,255.08,254.895,255.075
2026-04-02 15:39:00+00:00,255.01,255.155,254.92,255.05
2026-04-02 15:40:00+00:00,254.96,255.11,254.905,255.02
2026-04-02 15:41:00+00:00,254.845,255.03,254.765,254.96
2026-04-02 15:42:00+00:00,254.675,254.85,254.625,254.835
2026-04-02 15:43:00+00:00,254.715,254.74,254.595,254.66
2026-04-02 15:44:00+00:00,254.86,254.885,254.69,254.715
2026-04-02 15:45:00+00:00,254.595,254.87,254.57,254.845
2026-04-02 15:46:00+00:00,254.715,254.78,254.515,254.595
2026-04-02 15:47:00+00:00,254.76,254.795,254.655,254.715
2026-04-02 15:48:00+00:00,254.75,254.825,254.61,254.76
2026-04-02 15:49:00+00:00,254.675,254.79,254.65,254.755
2026-04-02 15:50:00+00:00,254.525,254.695,254.495,254.685
2026-04-02 15:51:00+00:00,254.475,254.585,254.395,254.54
2026-04-02 15:52:00+00:00,254.685,254.71,254.44,254.48
2026-04-02 15:53:00+00:00,254.415,254.7,254.41,254.68
2026-04-02 15:54:00+00:00,254.75,254.81,254.365,254.415
2026-04-02 15:55:00+00:00,254.795,254.82,254.65,254.75
2026-04-02 15:56:00+00:00,254.575,255.91,254.555,254.835
2026-04-02 15:57:00+00:00,254.505,254.635,254.445,254.575
2026-04-02 15:58:00+00:00,254.555,254.575,254.49,254.505
2026-04-02 15:59:00+00:00,254.565,254.66,254.53,254.55
2026-04-02 16:00:00+00:00,254.55,255.11,254.49,254.56
2026-04-02 16:01:00+00:00,254.695,254.75,254.54,254.55
2026-04-02 16:02:00+00:00,254.6,254.72,254.53,254.72
2026-04-02 16:03:00+00:00,254.495,254.645,254.475,254.6
2026-04-02 16:04:00+00:00,254.365,254.53,254.28,254.49
2026-04-02 16:05:00+00:00,254.51,254.53,254.36,254.365
2026-04-02 16:06:00+00:00,254.385,254.51,254.375,254.51
2026-04-02 16:07:00+00:00,254.33,254.395,254.25,254.38
2026-04-02 16:08:00+00:00,254.15,254.36,254.12,254.33
2026-04-02 16:09:00+00:00,254.65,254.675,254.145,254.145
2026-04-02 16:10:00+00:00,254.435,255.165,254.4,254.655
2026-04-02 16:11:00+00:00,254.43,254.45,254.37,254.435
2026-04-02 16:12:00+00:00,254.515,254.55,254.36,254.42
2026-04-02 16:13:00+00:00,254.52,254.575,254.43,254.505
2026-04-02 16:14:00+00:00,254.46,254.535,254.44,254.515
2026-04-02 16:15:00+00:00,254.395,254.48,254.36,254.465
2026-04-02 16:16:00+00:00,254.355,254.515,254.32,254.39
2026-04-02 16:17:00+00:00,254.305,254.42,254.255,254.36
2026-04-02 16:18:00+00:00,254.27,254.37,254.205,254.305
2026-04-02 16:19:00+00:00,254.035,254.405,254.015,254.28
2026-04-02 16:20:00+00:00,254.13,254.215,254.01,254.025
2026-04-02 16:21:00+00:00,254.2,254.24,254.06,254.185
2026-04-02 16:22:00+00:00,254.3,254.33,254.1,254.2
2026-04-02 16:23:00+00:00,254.345,254.4,254.25,254.295
2026-04-02 16:24:00+00:00,254.25,254.355,254.25,254.34
2026-04-02 16:25:00+00:00,254.1,254.27,254.0,254.26
2026-04-02 16:26:00+00:00,254.35,254.425,254.05,254.1
2026-04-02 16:27:00+00:00,254.42,254.475,254.285,254.35
2026-04-02 16:28:00+00:00,254.32,254.54,254.225,254.425
2026-04-02 16:29:00+00:00,254.12,254.425,254.11,254.425
2026-04-02 16:30:00+00:00,254.085,254.24,254.07,254.125
2026-04-02 16:31:00+00:00,254.325,254.46,254.07,254.09
2026-04-02 16:32:00+00:00,254.5,254.53,254.3,254.31
2026-04-02 16:33:00+00:00,254.475,254.595,254.425,254.495
2026-04-02 16:34:00+00:00,254.465,254.505,254.42,254.485
2026-04-02 16:35:00+00:00,254.56,254.585,254.435,254.465
2026-04-02 16:36:00+00:00,254.485,254.6,254.3,254.56
2026-04-02 16:37:00+00:00,254.5,254.61,254.45,254.48
2026-04-02 16:38:00+00:00,254.38,254.54,254.235,254.515
