date,Close,High,Low,Open
2026-04-02 13:30:00+00:00,241.235,242.2,241.15,242.2
2026-04-02 13:31:00+00:00,241.12,241.56,241.12,241.52
2026-04-02 13:32:00+00:00,239.03,240.41,238.75,240.22
2026-04-02 13:33:00+00:00,239.03,239.03,238.33,238.69
2026-04-02 13:34:00+00:00,239.57,239.78,239.43,239.43
2026-04-02 13:35:00+00:00,240.17,240.17,239.18,239.2
2026-04-02 13:36:00+00:00,240.64,240.64,240.29,240.29
2026-04-02 13:37:00+00:00,241.3,241.71,241.3,241.3
2026-04-02 13:38:00+00:00,241.29,241.32,241.29,241.32
2026-04-02 13:39:00+00:00,240.85,241.22,240.27,240.27
2026-04-02 13:40:00+00:00,241.73,241.73,240.95,240.95
2026-04-02 13:41:00+00:00,240.225,240.44,240.225,240.44
2026-04-02 13:42:00+00:00,240.54,240.61,240.08,240.3
2026-04-02 13:43:00+00:00,240.66,240.87,240.64,240.68
2026-04-02 13:44:00+00:00,240.74,240.74,240.62,240.74
2026-04-02 13:45:00+00:00,240.88,240.88,240.53,240.53
2026-04-02 13:46:00+00:00,239.95,239.95,239.95,239.95
2026-04-02 13:47:00+00:00,239.51,239.66,239.49,239.575
2026-04-02 13:48:00+00:00,239.41,239.41,239.31,239.38
2026-04-02 13:49:00+00:00,239.35,239.77,239.35,239.77
2026-04-02 13:50:00+00:00,239.61,239.62,239.61,239.62
2026-04-02 13:51:00+00:00,239.4,239.615,239.32,239.615
2026-04-02 13:52:00+00:00,239.05,239.205,239.05,239.205
2026-04-02 13:53:00+00:00,238.83,239.15,238.74,239.15
2026-04-02 13:54:00+00:00,238.76,238.865,238.74,238.835
2026-04-02 13:55:00+00:00,239.2,239.2,238.925,238.925
2026-04-02 13:56:00+00:00,239.125,239.195,239.01,239.195
2026-04-02 13:57:00+00:00,239.63,239.63,238.94,239.1
2026-04-02 13:58:00+00:00,239.24,239.255,239.24,239.25
2026-04-02 13:59:00+00:00,239.62,239.62,239.365,239.365
2026-04-02 14:00:00+00:00,239.81,239.81,239.49,239.57
2026-04-02 14:01:00+00:00,239.63,239.71,239.27,239.64
2026-04-02 14:02:00+00:00,240.11,240.11,239.64,240.04
2026-04-02 14:03:00+00:00,240.03,240.03,239.87,239.87
2026-04-02 14:04:00+00:00,240.15,240.15,239.77,239.985
2026-04-02 14:05:00+00:00,239.8,239.905,239.65,239.67
2026-04-02 14:06:00+00:00,239.985,239.985,239.78,239.8
2026-04-02 14:07:00+00:00,240.03,240.13,239.82,239.895
2026-04-02 14:08:00+00:00,239.88,240.09,239.83,239.89
2026-04-02 14:09:00+00:00,239.55,240.095,239.55,240.07
2026-04-02 14:10:00+00:00,239.95,240.1,239.83,239.83
2026-04-02 14:11:00+00:00,239.91,240.04,239.76,239.98
2026-04-02 14:12:00+00:00,240.03,240.12,239.89,240.04
2026-04-02 14:13:00+00:00,240.41,240.47,239.83,239.83
2026-04-02 14:14:00+00:00,240.3,240.3,240.13,240.2
2026-04-02 14:15:00+00:00,240.59,240.63,240.39,240.555
2026-04-02 14:16:00+00:00,240.52,240.52,240.24,240.43
2026-04-02 14:17:00+00:00,240.56,240.73,240.43,240.43
2026-04-02 14:18:00+00:00,240.35,240.46,240.35,240.46
2026-04-02 14:19:00+00:00,240.07,240.07,240.07,240.07
2026-04-02 14:20:00+00:00,239.71,239.84,239.52,239.52
2026-04-02 14:21:00+00:00,239.49,239.53,239.36,239.46
2026-04-02 14:22:00+00:00,239.715,239.89,239.71,239.86
2026-04-02 14:23:00+00:00,240.205,240.205,239.715,239.715
2026-04-02 14:24:00+00:00,240.14,240.25,239.99,240.12
2026-04-02 14:25:00+00:00,240.795,240.8,240.19,240.38
2026-04-02 14:26:00+00:00,240.83,241.345,240.83,241.16
2026-04-02 14:27:00+00:00,241.035,241.27,240.935,241.07
2026-04-02 14:28:00+00:00,240.875,241.025,240.765,240.89
2026-04-02 14:29:00+00:00,240.64,240.71,240.605,240.71
2026-04-02 14:30:00+00:00,240.45,240.585,240.45,240.52
2026-04-02 14:31:00+00:00,240.82,240.905,240.82,240.82
2026-04-02 14:32:00+00:00,240.905,240.905,240.905,240.905
2026-04-02 14:33:00+00:00,241.45,241.45,241.28,241.28
2026-04-02 14:34:00+00:00,241.5,241.5,241.5,241.5
2026-04-02 14:35:00+00:00,241.69,241.69,241.69,241.69
2026-04-02 14:36:00+00:00,243.63,243.63,243.01,243.01
2026-04-02 14:37:00+00:00,244.8,244.985,244.03,244.03
2026-04-02 14:38:00+00:00,243.14,244.01,243.14,244.01
2026-04-02 14:39:00+00:00,243.11,243.11,243.11,243.11
2026-04-02 14:40:00+00:00,242.22,242.93,242.21,242.93
2026-04-02 14:41:00+00:00,242.22,242.34,242.22,242.34
2026-04-02 14:42:00+00:00,241.82,241.84,241.82,241.84
2026-04-02 14:43:00+00:00,241.59,241.925,241.58,241.925
2026-04-02 14:44:00+00:00,241.92,241.92,241.525,241.525
2026-04-02 14:45:00+00:00,242.05,242.05,241.99,241.99
2026-04-02 14:46:00+00:00,242.05,242.05,242.05,242.05
2026-04-02 14:47:00+00:00,242.31,242.31,242.27,242.27
2026-04-02 14:48:00+00:00,242.13,242.195,242.07,242.07
2026-04-02 14:49:00+00:00,242.38,242.38,242.17,242.17
2026-04-02 14:50:00+00:00,242.38,242.4,242.35,242.4
2026-04-02 14:51:00+00:00,242.25,242.515,242.25,242.515
2026-04-02 14:52:00+00:00,242.25,242.25,242.25,242.25
2026-04-02 14:53:00+00:00,242.46,242.495,242.31,242.495
2026-04-02 14:54:00+00:00,242.46,242.57,242.46,242.55
2026-04-02 14:55:00+00:00,242.55,242.61,242.54,242.59
2026-04-02 14:56:00+00:00,242.705,242.705,242.705,242.705
