Date,Close,High,Low,Open,Volume
1985-01-01,17.5625,18.1875,13.1875,14.6875,25653400
1985-02-01,16.625,18.0625,15.8125,17.3125,14944400
1985-03-01,16.6875,17.0,15.0625,16.6875,17758000
1985-04-01,13.9375,17.0,13.5,16.8125,14843600
1985-05-01,13.25,15.125,13.0,13.875,17080800
1985-06-01,13.0,13.8125,11.0625,13.3125,23443200
1985-07-01,14.875,15.375,12.375,13.0625,19431600
1985-08-01,13.25,15.4375,13.25,15.0,12519000
1985-09-01,13.125,14.125,12.5,13.25,13307200
1985-10-01,11.6875,13.0,11.0,13.0,19180200
1985-11-01,13.9375,13.9375,11.375,11.75,19094600
1985-12-01,14.5,15.5625,13.5,13.875,18101000
1986-01-01,13.6875,14.875,13.1875,14.4375,14869600
1986-02-01,15.5625,16.4375,13.4375,13.625,21612800
1986-03-01,14.25,16.75,14.0625,15.4375,13787400
1986-04-01,14.1875,15.75,13.5,14.25,18287400
1986-05-01,13.3125,14.5625,12.1875,14.125,15569000
1986-06-01,10.0,13.3125,10.0,13.25,17810400
1986-07-01,7.875,10.3125,7.0625,10.1875,23084800
1986-08-01,9.6875,9.9375,7.1875,7.8125,15832800
1986-09-01,7.875,10.1875,7.625,9.625,17338600
1986-10-01,6.875,8.0625,6.4375,7.9375,14083400
1986-11-01,7.8125,8.25,7.0,7.0,10927000
1986-12-01,6.875,8.4375,6.6875,7.625,10165000
1987-01-01,8.75,9.375,6.75,6.8125,26551600
1987-02-01,10.875,12.25,8.6875,8.75,36902000
1987-03-01,9.9375,11.0,9.375,11.0,21468600
1987-04-01,11.0625,12.125,9.6875,9.6875,28259400
1987-05-01,10.8125,11.9375,10.0,11.0625,20350400
1987-06-01,9.5,11.125,9.0625,10.875,20074000
1987-07-01,9.0625,9.625,8.375,9.4375,19259200
1987-08-01,11.0,11.6875,8.875,8.9375,34374400
1987-09-01,11.0,11.5,9.6875,10.9375,19773000
1987-10-01,5.75,12.4375,4.75,11.0625,48820400
1987-11-01,4.625,5.625,4.375,5.3125,18541400
1987-12-01,4.9375,5.375,3.75,4.6875,25248400
1988-01-01,4.8125,5.625,4.4375,5.0,16399600
1988-02-01,6.0,6.4375,4.6875,4.875,19525000
1988-03-01,5.5,6.9375,5.375,6.0,20645000
