date,Close,High,Low,Open
2026-08-28 13:30:00+00:00,86.85,86.93,86.6,86.69
2026-08-28 13:31:00+00:00,86.64,86.945,86.635,86.85
2026-08-28 13:32:00+00:00,86.64,86.75,86.555,86.64
2026-08-28 13:33:00+00:00,86.67,86.69,86.44,86.64
2026-08-28 13:34:00+00:00,86.785,86.84,86.565,86.67
2026-08-28 13:35:00+00:00,86.93,86.935,86.735,86.79
2026-08-28 13:36:00+00:00,87.015,87.035,86.7,86.925
2026-08-28 13:37:00+00:00,86.985,87.08,86.9,87.01
2026-08-28 13:38:00+00:00,87.155,87.22,86.975,86.985
2026-08-28 13:39:00+00:00,87.08,87.255,87.06,87.15
2026-08-28 13:40:00+00:00,87.065,87.18,87.01,87.065
2026-08-28 13:41:00+00:00,86.985,87.2,86.93,87.07
2026-08-28 13:42:00+00:00,86.81,87.005,86.75,86.98
2026-08-28 13:43:00+00:00,86.81,86.86,86.765,86.81
2026-08-28 13:44:00+00:00,86.775,86.915,86.76,86.845
2026-08-28 13:45:00+00:00,86.835,86.915,86.765,86.775
2026-08-28 13:46:00+00:00,86.765,86.855,86.7,86.83
2026-08-28 13:47:00+00:00,86.87,86.89,86.695,86.765
2026-08-28 13:48:00+00:00,86.965,87.0,86.845,86.87
2026-08-28 13:49:00+00:00,86.755,86.98,86.73,86.97
2026-08-28 13:50:00+00:00,86.695,86.825,86.69,86.755
2026-08-28 13:51:00+00:00,86.645,86.795,86.635,86.695
2026-08-28 13:52:00+00:00,86.555,86.73,86.525,86.65
2026-08-28 13:53:00+00:00,86.73,86.8,86.555,86.56
2026-08-28 13:54:00+00:00,86.825,86.87,86.67,86.73
2026-08-28 13:55:00+00:00,86.865,86.89,86.74,86.825
2026-08-28 13:56:00+00:00,86.885,86.96,86.825,86.86
2026-08-28 13:57:00+00:00,86.91,86.965,86.845,86.88
2026-08-28 13:58:00+00:00,86.88,86.945,86.84,86.9
2026-08-28 13:59:00+00:00,86.775,86.935,86.725,86.885
2026-08-28 14:00:00+00:00,86.93,87.095,86.67,86.755
2026-08-28 14:01:00+00:00,86.575,86.985,86.575,86.965
2026-08-28 14:02:00+00:00,86.565,86.72,86.48,86.57
2026-08-28 14:03:00+00:00,86.365,86.61,86.36,86.56
2026-08-28 14:04:00+00:00,86.445,86.505,86.35,86.43
2026-08-28 14:05:00+00:00,86.2,86.47,86.195,86.47
2026-08-28 14:06:00+00:00,85.955,86.26,85.875,86.195
2026-08-28 14:07:00+00:00,85.855,85.98,85.845,85.96
2026-08-28 14:08:00+00:00,86.01,86.025,85.82,85.86
2026-08-28 14:09:00+00:00,85.945,86.08,85.905,86.01
2026-08-28 14:10:00+00:00,85.83,86.005,85.8,85.945
2026-08-28 14:11:00+00:00,85.8,85.895,85.71,85.83
2026-08-28 14:12:00+00:00,85.705,85.8,85.61,85.8
2026-08-28 14:13:00+00:00,85.605,85.71,85.485,85.705
2026-08-28 14:14:00+00:00,85.68,85.735,85.565,85.605
2026-08-28 14:15:00+00:00,85.82,85.87,85.68,85.68
2026-08-28 14:16:00+00:00,85.835,85.875,85.735,85.82
