symbol,dt,open,close,high,low,vol,amount
ASML,2026-02-02 14:00:00,1446.2149658203125,1444.3900146484375,1446.2149658203125,1443.300048828125,484903,0.0
ASML,2026-02-02 14:05:00,1444.324951171875,1442.6600341796875,1444.8900146484375,1442.6600341796875,5857,0.0
ASML,2026-02-02 14:10:00,1443.02001953125,1443.5699462890625,1444.75,1442.320068359375,4718,0.0
ASML,2026-02-02 14:15:00,1443.8499755859375,1444.239990234375,1444.469970703125,1443.5450439453125,3310,0.0
ASML,2026-02-02 14:20:00,1443.199951171875,1445.469970703125,1445.489990234375,1443.199951171875,3466,0.0
ASML,2026-02-02 14:25:00,1444.8699951171875,1444.300048828125,1446.1700439453125,1444.300048828125,6784,0.0
ASML,2026-02-02 14:30:00,1444.3499755859375,1443.5050048828125,1444.3499755859375,1443.0,5085,0.0
ASML,2026-02-02 14:35:00,1443.0400390625,1441.885009765625,1443.0400390625,1441.1700439453125,10965,0.0
ASML,2026-02-02 14:40:00,1441.8900146484375,1442.3399658203125,1442.3399658203125,1441.010009765625,7501,0.0
ASML,2026-02-02 14:45:00,1441.02001953125,1442.614990234375,1442.8199462890625,1441.02001953125,7129,0.0
ASML,2026-02-02 14:50:00,1442.614990234375,1444.3499755859375,1444.530029296875,1442.5,3703,0.0
ASML,2026-02-02 14:55:00,1444.3499755859375,1439.052490234375,1446.760009765625,1439.052490234375,9633,0.0
ASML,2026-02-02 15:00:00,1439.18994140625,1440.7550048828125,1441.099853515625,1434.02001953125,13891,0.0
ASML,2026-02-02 15:05:00,1440.7550048828125,1442.43505859375,1442.6400146484375,1440.130126953125,5197,0.0
ASML,2026-02-02 15:10:00,1442.1700439453125,1438.3499755859375,1443.47998046875,1438.1500244140625,5382,0.0
ASML,2026-02-02 15:15:00,1438.300048828125,1441.10498046875,1441.77001953125,1438.300048828125,5466,0.0
ASML,2026-02-02 15:20:00,1441.10498046875,1439.5350341796875,1441.7900390625,1439.2099609375,6303,0.0
ASML,2026-02-02 15:25:00,1440.1099853515625,1437.3499755859375,1440.5400390625,1437.3499755859375,5077,0.0
ASML,2026-02-02 15:30:00,1437.5970458984375,1437.6650390625,1438.27001953125,1436.5899658203125,8573,0.0
ASML,2026-02-02 15:35:00,1437.6600341796875,1437.449951171875,1438.0,1436.030029296875,9998,0.0
ASML,2026-02-02 15:40:00,1437.2891845703125,1436.4300537109375,1437.719970703125,1435.4000244140625,7494,0.0
ASML,2026-02-02 15:45:00,1436.4425048828125,1435.7349853515625,1438.0799560546875,1435.719970703125,7886,0.0
ASML,2026-02-02 15:50:00,1435.25,1436.0,1436.8050537109375,1434.905029296875,14364,0.0
ASML,2026-02-02 15:55:00,1436.5999755859375,1441.4000244140625,1441.4599609375,1436.0,51949,0.0
ASML,2026-02-03 09:30:00,1436.35498046875,1433.6700439453125,1445.7099609375,1431.2750244140625,81020,0.0
ASML,2026-02-03 09:35:00,1433.6600341796875,1424.4300537109375,1434.1400146484375,1423.0,25731,0.0
ASML,2026-02-03 09:40:00,1425.280029296875,1413.550048828125,1428.1400146484375,1412.300048828125,26154,0.0
ASML,2026-02-03 09:45:00,1414.7900390625,1419.1099853515625,1423.1025390625,1413.2750244140625,39825,0.0
ASML,2026-02-03 09:50:00,1418.1099853515625,1405.3900146484375,1419.6500244140625,1405.010009765625,28057,0.0
ASML,2026-02-03 09:55:00,1405.9599609375,1398.1800537109375,1406.2900390625,1397.219970703125,39471,0.0
ASML,2026-02-03 10:00:00,1398.175048828125,1394.7799072265625,1398.6800537109375,1389.050048828125,44678,0.0
ASML,2026-02-03 10:05:00,1394.0899658203125,1397.3199462890625,1398.030029296875,1388.3800048828125,30764,0.0
ASML,2026-02-03 10:10:00,1396.6199951171875,1396.875,1399.8299560546875,1393.84130859375,20761,0.0
ASML,2026-02-03 10:15:00,1397.1929931640625,1398.22998046875,1398.22998046875,1392.68994140625,17773,0.0
ASML,2026-02-03 10:20:00,1398.22998046875,1388.300048828125,1401.4798583984375,1387.06005859375,29669,0.0
ASML,2026-02-03 10:25:00,1388.2900390625,1394.72998046875,1399.22998046875,1387.0799560546875,21666,0.0
ASML,2026-02-03 10:30:00,1393.7349853515625,1394.6300048828125,1403.574951171875,1393.18994140625,20924,0.0
ASML,2026-02-03 10:35:00,1394.8800048828125,1395.81689453125,1396.4000244140625,1391.6300048828125,25809,0.0
ASML,2026-02-03 10:40:00,1395.4599609375,1395.1500244140625,1397.510009765625,1392.795654296875,25418,0.0
