date,Close,High,Low,Open,Volume,Adjclose,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
2024-04-01 00:00:00+00:00,189.5,192.8673,189.03,192.24,4992634,189.5,192.8673,189.03,192.24,4992634,0.0,1.0
2024-04-02 00:00:00+00:00,188.04,189.23,187.13,189.0,4463599,188.04,189.23,187.13,189.0,4463599,0.0,1.0
2024-04-03 00:00:00+00:00,184.92,188.78,184.27,187.68,6575329,184.92,188.78,184.27,187.68,6575329,0.0,1.0
2024-04-04 00:00:00+00:00,183.29,188.0,182.81,185.93,6413800,183.29,188.0,182.81,185.93,6413800,0.0,1.0
2024-04-05 00:00:00+00:00,183.14,184.66,182.44,184.16,4021683,183.14,184.66,182.44,184.16,4021683,0.0,1.0
2024-04-08 00:00:00+00:00,181.56,184.55,181.49,182.14,6080198,181.56,184.55,181.49,182.14,6080198,0.0,1.0
2024-04-09 00:00:00+00:00,178.12,183.05,176.57,181.51,11224063,178.12,183.05,176.57,181.51,11224063,0.0,1.0
2024-04-10 00:00:00+00:00,174.63,178.1,172.44,176.31,9727732,174.63,178.1,172.44,176.31,9727732,0.0,1.0
2024-04-11 00:00:00+00:00,173.36,174.7,171.38,174.47,7625110,173.36,174.7,171.38,174.47,7625110,0.0,1.0
2024-04-12 00:00:00+00:00,169.55,173.24,169.37,172.2,7568297,169.55,173.24,169.37,172.2,7568297,0.0,1.0
2024-04-15 00:00:00+00:00,167.82,171.18,167.53,170.74,6490657,167.82,171.18,167.53,170.74,6490657,0.0,1.0
2024-04-16 00:00:00+00:00,170.55,170.64,167.75,168.14,7986725,170.55,170.64,167.75,168.14,7986725,0.0,1.0
2024-04-17 00:00:00+00:00,170.21,170.85,168.1215,170.0,8162632,170.21,170.85,168.1215,170.0,8162632,0.0,1.0
2024-04-18 00:00:00+00:00,170.23,172.04,169.095,169.48,5123020,170.23,172.04,169.095,169.48,5123020,0.0,1.0
2024-04-19 00:00:00+00:00,169.82,172.0,169.65,170.0,4693869,169.82,172.0,169.65,170.0,4693869,0.0,1.0
2024-04-22 00:00:00+00:00,170.48,172.15,168.16,169.82,4724887,170.48,172.15,168.16,169.82,4724887,0.0,1.0
2024-04-23 00:00:00+00:00,169.18,171.18,168.43,170.95,7632123,169.18,171.18,168.43,170.95,7632123,0.0,1.0
2024-04-24 00:00:00+00:00,164.33,177.64,162.74,176.5,20889273,164.33,177.64,162.74,176.5,20889273,0.0,1.0
2024-04-25 00:00:00+00:00,166.81,168.13,159.7,163.59,12504691,166.81,168.13,159.7,163.59,12504691,0.0,1.0
2024-04-26 00:00:00+00:00,167.22,168.65,164.93,165.98,7208103,167.22,168.65,164.93,165.98,7208103,0.0,1.0
2024-04-29 00:00:00+00:00,173.49,173.81,167.55,167.9,7805459,173.49,173.81,167.55,167.9,7805459,0.0,1.0
2024-04-30 00:00:00+00:00,167.84,174.07,167.76,171.49,8248754,167.84,174.07,167.76,171.49,8248754,0.0,1.0
2024-05-01 00:00:00+00:00,171.46,173.86,167.5,167.5,6206091,171.46,173.86,167.5,167.5,6206091,0.0,1.0
2024-05-02 00:00:00+00:00,178.85,178.9,172.2501,173.0,10223730,178.85,178.9,172.2501,173.0,10223730,0.0,1.0
2024-05-03 00:00:00+00:00,179.79,180.49,177.9,179.59,5416263,179.79,180.49,177.9,179.59,5416263,0.0,1.0
2024-05-06 00:00:00+00:00,178.35,183.98,174.71,180.88,11913389,178.35,183.98,174.71,180.88,11913389,0.0,1.0
2024-05-07 00:00:00+00:00,176.71,178.35,176.13,177.22,5097451,176.71,178.35,176.13,177.22,5097451,0.0,1.0
2024-05-08 00:00:00+00:00,180.35,181.66,175.95,175.95,4956761,180.35,181.66,175.95,175.95,4956761,0.0,1.0
2024-05-09 00:00:00+00:00,181.25,181.75,179.31,179.55,5107368,181.25,181.75,179.31,179.55,5107368,0.0,1.0
2024-05-10 00:00:00+00:00,178.51,181.88,177.92,181.25,3715473,178.51,181.88,177.92,181.25,3715473,0.0,1.0
2024-05-13 00:00:00+00:00,178.44,180.75,178.07,179.04,3105206,178.44,180.75,178.07,179.04,3105206,0.0,1.0
2024-05-14 00:00:00+00:00,180.76,183.66,179.63,180.23,4686537,180.76,183.66,179.63,180.23,4686537,0.0,1.0
2024-05-15 00:00:00+00:00,176.99,180.67,176.17,180.14,5858857,176.99,180.67,176.17,180.14,5858857,0.0,1.0
2024-05-16 00:00:00+00:00,182.96,183.76,177.25,177.6,6993218,182.96,183.76,177.25,177.6,6993218,0.0,1.0
2024-05-17 00:00:00+00:00,184.95,185.3799,181.22,183.25,5562368,184.95,185.3799,181.22,183.25,5562368,0.0,1.0
2024-05-20 00:00:00+00:00,186.61,188.63,184.01,184.65,6228560,186.61,188.63,184.01,184.65,6228560,0.0,1.0
2024-05-21 00:00:00+00:00,184.78,186.39,183.11,185.3,4349117,184.78,186.39,183.11,185.3,4349117,0.0,1.0
2024-05-22 00:00:00+00:00,186.28,186.8183,183.41,184.6,3785412,186.28,186.8183,183.41,184.6,3785412,0.0,1.0
2024-05-23 00:00:00+00:00,172.21,186.0,171.61,185.79,17115954,172.21,186.0,171.61,185.79,17115954,0.0,1.0
2024-05-24 00:00:00+00:00,174.52,174.8595,169.57,173.2,9489380,174.52,174.8595,169.57,173.2,9489380,0.0,1.0
2024-05-28 00:00:00+00:00,175.08,178.4914,173.38,174.73,5274390,175.08,178.4914,173.38,174.73,5274390,0.0,1.0
2024-05-29 00:00:00+00:00,171.65,175.8299,171.61,173.61,3666368,171.65,175.8299,171.61,173.61,3666368,0.0,1.0
2024-05-30 00:00:00+00:00,172.75,174.68,171.5501,172.64,3927919,172.75,174.68,171.5501,172.64,3927919,0.0,1.0
2024-05-31 00:00:00+00:00,177.61,177.9,172.21,173.12,5774549,177.61,177.9,172.21,173.12,5774549,0.0,1.0
2024-06-03 00:00:00+00:00,184.57,186.01,178.0197,178.09,8951574,184.57,186.01,178.0197,178.09,8951574,0.0,1.0
2024-06-04 00:00:00+00:00,188.62,188.84,183.25,185.05,7176817,188.62,188.84,183.25,185.05,7176817,0.0,1.0
2024-06-05 00:00:00+00:00,189.85,190.34,186.5268,187.9,5943952,189.85,190.34,186.5268,187.9,5943952,0.0,1.0
2024-06-06 00:00:00+00:00,191.42,192.1,187.35,188.83,5942160,191.42,192.1,187.35,188.83,5942160,0.0,1.0
2024-06-07 00:00:00+00:00,190.24,191.98,189.66,190.46,3374548,190.24,191.98,189.66,190.46,3374548,0.0,1.0
2024-06-10 00:00:00+00:00,190.12,192.63,189.6,190.0,4388254,190.12,192.63,189.6,190.0,4388254,0.0,1.0
2024-06-11 00:00:00+00:00,185.5,189.32,182.75,189.32,5010058,185.5,189.32,182.75,189.32,5010058,0.0,1.0
2024-06-12 00:00:00+00:00,182.67,187.16,181.71,186.5,5245156,182.67,187.16,181.71,186.5,5245156,0.0,1.0
2024-06-13 00:00:00+00:00,180.7,183.87,178.99,181.74,4201004,180.7,183.87,178.99,181.74,4201004,0.0,1.0
2024-06-14 00:00:00+00:00,177.27,180.2899,175.22,178.9,5105974,177.27,180.2899,175.22,178.9,5105974,0.0,1.0
2024-06-17 00:00:00+00:00,178.39,180.45,176.32,176.75,4789953,178.39,180.45,176.32,176.75,4789953,0.0,1.0
2024-06-18 00:00:00+00:00,174.99,178.0,173.82,177.61,6179870,174.99,178.0,173.82,177.61,6179870,0.0,1.0
2024-06-20 00:00:00+00:00,176.3,176.6489,172.045,173.02,5479280,176.3,176.6489,172.045,173.02,5479280,0.0,1.0
2024-06-21 00:00:00+00:00,176.56,178.41,175.66,176.83,8635096,176.56,178.41,175.66,176.83,8635096,0.0,1.0
2024-06-24 00:00:00+00:00,179.1,180.6,175.5901,176.15,7388289,179.1,180.6,175.5901,176.15,7388289,0.0,1.0
2024-06-25 00:00:00+00:00,175.1,178.76,173.29,176.29,7695061,175.1,178.76,173.29,176.29,7695061,0.0,1.0
2024-06-26 00:00:00+00:00,178.5,178.82,173.76,174.96,6553895,178.5,178.82,173.76,174.96,6553895,0.0,1.0
