date,Close,High,Low,Open
2026-08-28 13:30:00+00:00,210.265,210.4,210.23,210.23
2026-08-28 13:31:00+00:00,209.82,210.265,209.815,210.265
2026-08-28 13:32:00+00:00,209.88,210.01,209.67,209.905
2026-08-28 13:33:00+00:00,209.92,209.92,209.79,209.79
2026-08-28 13:34:00+00:00,208.88,209.7,208.76,209.7
2026-08-28 13:35:00+00:00,209.27,209.27,208.925,208.925
2026-08-28 13:36:00+00:00,209.385,209.385,209.385,209.385
2026-08-28 13:37:00+00:00,209.51,209.635,209.4,209.635
2026-08-28 13:38:00+00:00,209.56,209.85,209.56,209.82
2026-08-28 13:39:00+00:00,209.59,209.59,209.565,209.59
2026-08-28 13:40:00+00:00,209.5,209.63,209.48,209.585
2026-08-28 13:41:00+00:00,209.72,209.735,209.43,209.43
2026-08-28 13:42:00+00:00,209.3,209.48,209.3,209.48
2026-08-28 13:43:00+00:00,209.64,209.64,209.49,209.49
2026-08-28 13:44:00+00:00,209.62,209.65,209.62,209.65
2026-08-28 13:45:00+00:00,209.62,209.63,209.36,209.36
2026-08-28 13:46:00+00:00,209.74,209.74,209.585,209.66
2026-08-28 13:47:00+00:00,209.82,209.82,209.69,209.69
2026-08-28 13:48:00+00:00,209.53,209.64,209.53,209.64
2026-08-28 13:49:00+00:00,209.52,209.52,209.52,209.52
2026-08-28 13:50:00+00:00,209.52,209.52,209.52,209.52
2026-08-28 13:51:00+00:00,209.77,209.77,209.76,209.76
2026-08-28 13:52:00+00:00,209.865,209.9,209.86,209.9
2026-08-28 13:53:00+00:00,209.825,209.825,209.675,209.675
2026-08-28 13:54:00+00:00,209.49,209.78,209.49,209.78
2026-08-28 13:55:00+00:00,209.435,209.435,209.36,209.36
2026-08-28 13:56:00+00:00,209.445,209.475,209.445,209.475
2026-08-28 13:57:00+00:00,209.34,209.34,209.34,209.34
2026-08-28 13:58:00+00:00,209.28,209.32,209.28,209.32
2026-08-28 13:59:00+00:00,209.235,209.235,209.18,209.185
2026-08-28 14:00:00+00:00,209.37,209.37,209.03,209.1
2026-08-28 14:01:00+00:00,208.98,208.98,208.98,208.98
2026-08-28 14:02:00+00:00,209.29,209.29,209.165,209.165
2026-08-28 14:03:00+00:00,209.245,209.245,209.245,209.245
2026-08-28 14:04:00+00:00,209.23,209.23,208.785,208.785
2026-08-28 14:05:00+00:00,208.9,209.16,208.9,209.16
2026-08-28 14:06:00+00:00,208.805,208.92,208.78,208.92
2026-08-28 14:07:00+00:00,208.77,208.77,208.77,208.77
2026-08-28 14:08:00+00:00,209.03,209.03,208.91,208.91
2026-08-28 14:09:00+00:00,209.13,209.13,209.04,209.04
2026-08-28 14:10:00+00:00,208.85,208.86,208.85,208.86
2026-08-28 14:11:00+00:00,208.87,208.87,208.87,208.87
2026-08-28 14:12:00+00:00,208.96,208.96,208.87,208.87
2026-08-28 14:13:00+00:00,208.81,208.995,208.8,208.995
2026-08-28 14:14:00+00:00,208.86,208.88,208.86,208.88
2026-08-28 14:15:00+00:00,208.95,208.95,208.815,208.815
2026-08-28 14:16:00+00:00,208.98,208.98,208.98,208.98
2026-08-28 14:17:00+00:00,209.13,209.13,209.075,209.115
2026-08-28 14:18:00+00:00,209.03,209.22,209.02,209.22
2026-08-28 14:19:00+00:00,208.94,209.025,208.94,209.005
2026-08-28 14:20:00+00:00,208.91,208.91,208.85,208.85
2026-08-28 14:21:00+00:00,209.1,209.1,208.98,209.025
2026-08-28 14:22:00+00:00,209.115,209.13,209.115,209.115
2026-08-28 14:23:00+00:00,209.095,209.175,209.05,209.175
2026-08-28 14:24:00+00:00,208.9,208.9,208.82,208.82
2026-08-28 14:25:00+00:00,208.88,208.98,208.88,208.95
2026-08-28 14:26:00+00:00,208.955,208.955,208.875,208.88
2026-08-28 14:27:00+00:00,208.69,209.045,208.69,209.045
2026-08-28 14:28:00+00:00,208.71,208.735,208.665,208.665
2026-08-28 14:29:00+00:00,208.74,208.765,208.635,208.73
2026-08-28 14:30:00+00:00,208.78,208.78,208.75,208.75
2026-08-28 14:31:00+00:00,208.78,208.82,208.74,208.805
2026-08-28 14:32:00+00:00,208.92,208.92,208.81,208.81
2026-08-28 14:33:00+00:00,209.11,209.11,208.99,209.04
2026-08-28 14:34:00+00:00,209.11,209.11,209.11,209.11
2026-08-28 14:35:00+00:00,209.125,209.125,208.82,208.82
2026-08-28 14:36:00+00:00,209.1,209.125,209.1,209.125
2026-08-28 14:37:00+00:00,209.185,209.555,209.11,209.555
2026-08-28 14:38:00+00:00,209.07,209.16,209.04,209.16
2026-08-28 14:39:00+00:00,209.07,209.07,209.0,209.0
2026-08-28 14:40:00+00:00,209.135,209.55,209.135,209.53
2026-08-28 14:41:00+00:00,209.09,209.095,209.09,209.095
2026-08-28 14:42:00+00:00,209.05,209.075,209.05,209.05
2026-08-28 14:43:00+00:00,209.065,209.065,209.065,209.065
2026-08-28 14:44:00+00:00,209.22,209.22,209.1,209.105
2026-08-28 14:45:00+00:00,209.075,209.145,209.05,209.145
2026-08-28 14:46:00+00:00,208.91,208.94,208.78,208.805
2026-08-28 14:47:00+00:00,208.84,208.99,208.84,208.92
2026-08-28 14:48:00+00:00,208.78,208.85,208.78,208.85
2026-08-28 14:49:00+00:00,209.1,209.1,208.805,208.805
2026-08-28 14:50:00+00:00,209.235,209.59,209.19,209.56
2026-08-28 14:51:00+00:00,209.205,209.28,209.18,209.19
2026-08-28 14:52:00+00:00,209.24,209.6,209.24,209.6
2026-08-28 14:53:00+00:00,209.11,209.13,209.11,209.13
2026-08-28 14:54:00+00:00,209.135,209.55,209.135,209.55
2026-08-28 14:55:00+00:00,209.135,209.58,209.115,209.57
2026-08-28 14:56:00+00:00,209.21,209.24,209.135,209.135
2026-08-28 14:57:00+00:00,209.245,209.245,209.245,209.245
