symbol,dt,open,close,high,low,vol,amount
BTC-USD,2026-03-01 00:00:00,66997.25,67039.0546875,67039.0546875,66992.4921875,0,0.0
BTC-USD,2026-03-01 00:05:00,67036.2734375,66931.921875,67036.2734375,66931.921875,18370560,0.0
BTC-USD,2026-03-01 00:10:00,66842.3828125,66856.8203125,66881.1796875,66842.3828125,0,0.0
BTC-USD,2026-03-01 00:15:00,66897.296875,66919.3359375,66923.8359375,66897.296875,0,0.0
BTC-USD,2026-03-01 00:20:00,66867.0859375,67021.0859375,67021.0859375,66867.0859375,497995776,0.0
BTC-USD,2026-03-01 00:25:00,66964.9296875,66842.6953125,66964.9296875,66842.6953125,0,0.0
BTC-USD,2026-03-01 00:30:00,66796.265625,66732.0390625,66834.296875,66732.0390625,0,0.0
BTC-USD,2026-03-01 00:35:00,66745.03125,66804.09375,66804.09375,66745.03125,195239936,0.0
BTC-USD,2026-03-01 00:40:00,66754.796875,66667.78125,66763.7421875,66663.9296875,146391040,0.0
BTC-USD,2026-03-01 00:45:00,66663.75,66696.0625,66717.5859375,66663.75,115449856,0.0
BTC-USD,2026-03-01 00:50:00,66707.296875,66820.0859375,66820.0859375,66707.296875,81186816,0.0
BTC-USD,2026-03-01 00:55:00,66869.171875,66821.7734375,66869.171875,66821.7734375,0,0.0
BTC-USD,2026-03-01 01:00:00,66680.6640625,66687.0703125,66758.3359375,66664.53125,207695872,0.0
BTC-USD,2026-03-01 01:05:00,66662.453125,66630.8046875,66662.453125,66623.828125,0,0.0
BTC-USD,2026-03-01 01:10:00,66482.1328125,66301.84375,66529.0390625,66237.0390625,208224256,0.0
BTC-USD,2026-03-01 01:15:00,66311.625,66148.6328125,66311.625,66115.8828125,1901535232,0.0
BTC-USD,2026-03-01 01:20:00,66301.9140625,66365.296875,66386.0078125,66301.9140625,74182656,0.0
BTC-USD,2026-03-01 01:25:00,66460.15625,66348.6796875,66460.15625,66348.6796875,248958976,0.0
BTC-USD,2026-03-01 01:30:00,66361.1796875,66524.3359375,66524.3359375,66332.7578125,11100160,0.0
BTC-USD,2026-03-01 01:35:00,66561.4765625,66647.3671875,66647.3671875,66561.4765625,88723456,0.0
BTC-USD,2026-03-01 01:40:00,66664.3828125,66683.4140625,66719.0703125,66664.3828125,8523776,0.0
BTC-USD,2026-03-01 01:45:00,66639.1015625,67060.0703125,67060.0703125,66639.1015625,264658944,0.0
BTC-USD,2026-03-01 01:50:00,67222.625,67484.5546875,67577.9375,67222.625,351866880,0.0
BTC-USD,2026-03-01 01:55:00,67373.0703125,67271.4453125,67373.0703125,67271.4453125,569520128,0.0
BTC-USD,2026-03-01 02:00:00,67334.71875,68143.15625,68143.15625,67334.71875,0,0.0
BTC-USD,2026-03-01 02:05:00,68016.03125,67937.4921875,68072.328125,67937.4921875,741810176,0.0
BTC-USD,2026-03-01 02:10:00,67800.953125,67917.1328125,67956.984375,67798.8125,397373440,0.0
BTC-USD,2026-03-01 02:15:00,67974.09375,67815.4921875,67974.09375,67777.625,181821440,0.0
BTC-USD,2026-03-01 02:20:00,67788.6484375,67720.0546875,67788.6484375,67720.0546875,42971136,0.0
BTC-USD,2026-03-01 02:25:00,67693.1640625,67787.4296875,67787.4296875,67686.546875,35647488,0.0
BTC-USD,2026-03-01 02:30:00,67786.796875,67772.4453125,67791.8828125,67714.296875,650391552,0.0
BTC-USD,2026-03-01 02:35:00,67854.1171875,67844.7734375,67919.5703125,67844.7734375,0,0.0
BTC-USD,2026-03-01 02:40:00,67834.6640625,68053.8671875,68053.8671875,67820.453125,89989120,0.0
BTC-USD,2026-03-01 02:45:00,68088.3359375,68120.0703125,68134.0078125,68088.3359375,123453440,0.0
BTC-USD,2026-03-01 02:50:00,67765.90625,67773.421875,67845.21875,67758.6953125,234237952,0.0
BTC-USD,2026-03-01 02:55:00,67734.96875,67667.5390625,67734.96875,67666.421875,431108096,0.0
BTC-USD,2026-03-01 03:00:00,67647.1015625,67676.484375,67676.484375,67646.7890625,28667904,0.0
BTC-USD,2026-03-01 03:05:00,67670.921875,67673.4140625,67673.4140625,67641.3203125,69820416,0.0
BTC-USD,2026-03-01 03:10:00,67757.7890625,67744.2109375,67805.3046875,67744.2109375,0,0.0
BTC-USD,2026-03-01 03:15:00,67719.453125,67734.1875,67741.1015625,67677.625,217513984,0.0
BTC-USD,2026-03-01 03:20:00,67694.0390625,67435.140625,67694.0390625,67435.140625,666824704,0.0
BTC-USD,2026-03-01 03:25:00,67443.3125,67590.1171875,67590.1171875,67443.3125,62324736,0.0
BTC-USD,2026-03-01 03:30:00,67568.4296875,67504.5234375,67568.4296875,67482.90625,0,0.0
BTC-USD,2026-03-01 03:35:00,67497.2734375,67541.9609375,67567.8671875,67497.2734375,0,0.0
BTC-USD,2026-03-01 03:40:00,67528.921875,67602.953125,67602.953125,67526.7109375,237387776,0.0
BTC-USD,2026-03-01 03:45:00,67633.2265625,67562.984375,67665.6484375,67562.984375,41762816,0.0
BTC-USD,2026-03-01 03:50:00,67661.859375,67654.609375,67661.859375,67604.6640625,60964864,0.0
BTC-USD,2026-03-01 03:55:00,67523.9921875,67487.265625,67540.640625,67487.265625,0,0.0
BTC-USD,2026-03-01 04:00:00,67574.7109375,67570.4765625,67592.6796875,67570.4765625,917925888,0.0
BTC-USD,2026-03-01 04:05:00,67546.0390625,67400.59375,67546.0390625,67400.59375,94412800,0.0
BTC-USD,2026-03-01 04:10:00,67393.3515625,67387.046875,67394.5390625,67369.3828125,19304448,0.0
BTC-USD,2026-03-01 04:15:00,67314.0078125,67115.171875,67314.0078125,67103.2421875,221048832,0.0
BTC-USD,2026-03-01 04:20:00,67192.0703125,67272.3671875,67272.3671875,67192.0703125,0,0.0
BTC-USD,2026-03-01 04:25:00,67262.6875,67339.4375,67339.4375,67225.25,0,0.0
BTC-USD,2026-03-01 04:30:00,67330.9609375,67292.2421875,67330.9609375,67282.5078125,680329216,0.0
BTC-USD,2026-03-01 04:35:00,67332.78125,67376.2265625,67407.8828125,67332.78125,0,0.0
BTC-USD,2026-03-01 04:40:00,67399.8046875,67427.765625,67427.765625,67399.8046875,96428032,0.0
BTC-USD,2026-03-01 04:45:00,67415.734375,67405.0234375,67415.734375,67402.796875,188350464,0.0
BTC-USD,2026-03-01 04:50:00,67370.671875,67349.328125,67375.2734375,67333.0625,0,0.0
BTC-USD,2026-03-01 04:55:00,67371.21875,67314.8828125,67371.21875,67314.8828125,32894976,0.0
BTC-USD,2026-03-01 05:00:00,67341.25,67372.8359375,67372.8359375,67341.25,592183296,0.0
BTC-USD,2026-03-01 05:05:00,67429.734375,67249.890625,67429.734375,67239.46875,0,0.0
BTC-USD,2026-03-01 05:10:00,67314.3828125,67410.6875,67431.8359375,67314.3828125,0,0.0
BTC-USD,2026-03-01 05:15:00,67342.6796875,67361.6171875,67383.703125,67342.6796875,225386496,0.0
BTC-USD,2026-03-01 05:20:00,67409.7734375,67512.4140625,67546.90625,67409.7734375,85938176,0.0
BTC-USD,2026-03-01 05:25:00,67510.953125,67464.046875,67510.953125,67464.046875,0,0.0
BTC-USD,2026-03-01 05:30:00,67455.3515625,67510.46875,67510.609375,67455.3515625,939810816,0.0
BTC-USD,2026-03-01 05:35:00,67520.5390625,67486.953125,67547.921875,67486.953125,7868416,0.0
BTC-USD,2026-03-01 05:40:00,67511.9453125,67458.59375,67511.9453125,67458.59375,0,0.0
BTC-USD,2026-03-01 05:45:00,67397.984375,67397.3203125,67417.25,67361.765625,0,0.0
BTC-USD,2026-03-01 05:50:00,67405.828125,67349.1796875,67413.71875,67349.1796875,11272192,0.0
BTC-USD,2026-03-01 05:55:00,67315.1875,67322.9296875,67322.9296875,67311.234375,18677760,0.0
BTC-USD,2026-03-01 06:00:00,67311.671875,67321.8828125,67322.359375,67306.3515625,0,0.0
BTC-USD,2026-03-01 06:05:00,67182.28125,67099.1875,67200.90625,67099.1875,27197440,0.0
BTC-USD,2026-03-01 06:10:00,67112.109375,67064.0078125,67112.109375,66991.46875,0,0.0
BTC-USD,2026-03-01 06:15:00,67092.71875,67038.625,67117.734375,67038.625,743006208,0.0
BTC-USD,2026-03-01 06:20:00,66998.4765625,67056.921875,67056.921875,66998.4765625,0,0.0
BTC-USD,2026-03-01 06:25:00,67094.21875,67141.5390625,67141.5390625,67089.703125,0,0.0
BTC-USD,2026-03-01 06:30:00,67056.09375,66921.6875,67071.7421875,66921.6875,0,0.0
BTC-USD,2026-03-01 06:35:00,66920.609375,66880.4609375,66928.640625,66877.453125,0,0.0
BTC-USD,2026-03-01 06:40:00,66933.171875,66833.4140625,66936.8515625,66833.4140625,0,0.0
BTC-USD,2026-03-01 06:45:00,66927.7734375,66842.2890625,66927.7734375,66842.2890625,0,0.0
BTC-USD,2026-03-01 06:50:00,66864.8125,66924.0625,66924.0625,66864.8125,0,0.0
BTC-USD,2026-03-01 06:55:00,66933.640625,66941.3515625,66953.0625,66933.640625,0,0.0
BTC-USD,2026-03-01 07:00:00,66935.0703125,66869.6953125,66935.0703125,66869.6953125,0,0.0
BTC-USD,2026-03-01 07:05:00,66833.9375,66818.5703125,66833.9375,66793.0625,0,0.0
BTC-USD,2026-03-01 07:10:00,66862.3359375,67026.78125,67038.2734375,66862.3359375,0,0.0
BTC-USD,2026-03-01 07:15:00,67033.515625,67002.109375,67033.515625,66998.6328125,0,0.0
BTC-USD,2026-03-01 07:20:00,67004.640625,67055.03125,67081.078125,67004.640625,0,0.0
BTC-USD,2026-03-01 07:25:00,67026.046875,66990.71875,67026.046875,66982.2109375,0,0.0
BTC-USD,2026-03-01 07:30:00,66988.3984375,66957.6015625,66988.3984375,66926.5625,0,0.0
BTC-USD,2026-03-01 07:35:00,67086.5,67174.3828125,67193.859375,67086.5,0,0.0
BTC-USD,2026-03-01 07:40:00,67182.71875,67105.515625,67206.7734375,67105.515625,282161152,0.0
BTC-USD,2026-03-01 07:45:00,67140.078125,67120.46875,67140.078125,67120.46875,0,0.0
BTC-USD,2026-03-01 07:50:00,67103.0859375,67143.4140625,67161.890625,67103.0859375,0,0.0
BTC-USD,2026-03-01 07:55:00,67114.4140625,67120.640625,67131.28125,67114.4140625,0,0.0
BTC-USD,2026-03-01 08:00:00,67143.484375,67066.53125,67146.2578125,67066.53125,429420544,0.0
BTC-USD,2026-03-01 08:05:00,66966.6796875,67112.328125,67112.328125,66935.078125,0,0.0
BTC-USD,2026-03-01 08:10:00,67123.2734375,67259.2421875,67259.2421875,67123.2734375,0,0.0
BTC-USD,2026-03-01 08:15:00,67262.1171875,67253.546875,67262.1171875,67214.0546875,0,0.0
BTC-USD,2026-03-01 08:20:00,67146.8359375,67245.8984375,67245.8984375,67146.8359375,43143168,0.0
BTC-USD,2026-03-01 08:25:00,67266.609375,67279.4765625,67279.4765625,67266.609375,0,0.0
BTC-USD,2026-03-01 08:30:00,67227.203125,67182.9453125,67234.2890625,67182.9453125,0,0.0
BTC-USD,2026-03-01 08:35:00,67166.90625,67176.4609375,67176.4609375,67166.90625,0,0.0
BTC-USD,2026-03-01 08:40:00,67222.3515625,67181.984375,67238.8359375,67181.984375,90824704,0.0
BTC-USD,2026-03-01 08:45:00,67163.46875,67046.546875,67163.46875,67046.546875,0,0.0
BTC-USD,2026-03-01 08:50:00,67002.859375,66581.9453125,67002.859375,66581.9453125,0,0.0
BTC-USD,2026-03-01 08:55:00,66533.7421875,66539.4453125,66591.8671875,66528.609375,401223680,0.0
BTC-USD,2026-03-01 09:00:00,66554.5234375,66673.7109375,66673.7109375,66489.3828125,95477760,0.0
BTC-USD,2026-03-01 09:05:00,66644.109375,66594.4765625,66644.109375,66561.4296875,280211456,0.0
BTC-USD,2026-03-01 09:10:00,66619.59375,66610.65625,66622.015625,66589.7421875,0,0.0
BTC-USD,2026-03-01 09:15:00,66578.828125,66715.9375,66715.9375,66578.828125,0,0.0
BTC-USD,2026-03-01 09:20:00,66710.90625,66724.671875,66724.671875,66698.3984375,21024768,0.0
BTC-USD,2026-03-01 09:25:00,66661.4296875,66614.640625,66661.4296875,66570.0078125,0,0.0
BTC-USD,2026-03-01 09:30:00,66629.5390625,66481.375,66629.5390625,66481.375,61067264,0.0
BTC-USD,2026-03-01 09:35:00,66454.71875,66452.7734375,66466.9921875,66452.7734375,8151040,0.0
BTC-USD,2026-03-01 09:40:00,66346.7421875,66322.1015625,66356.890625,66322.1015625,0,0.0
BTC-USD,2026-03-01 09:45:00,66308.765625,66318.3828125,66333.03125,66305.125,182169600,0.0
BTC-USD,2026-03-01 09:50:00,66356.6015625,66417.046875,66417.046875,66356.6015625,0,0.0
BTC-USD,2026-03-01 09:55:00,66378.359375,66373.390625,66417.140625,66373.390625,612032512,0.0
BTC-USD,2026-03-01 10:00:00,66458.4609375,66305.765625,66458.4609375,66305.765625,0,0.0
BTC-USD,2026-03-01 10:05:00,66372.421875,66404.8984375,66404.8984375,66299.078125,468811776,0.0
BTC-USD,2026-03-01 10:10:00,66404.53125,66516.8828125,66516.8828125,66404.53125,48037888,0.0
BTC-USD,2026-03-01 10:15:00,66527.875,66463.2734375,66527.875,66463.2734375,0,0.0
BTC-USD,2026-03-01 10:20:00,66475.46875,66506.125,66506.125,66462.6015625,0,0.0
BTC-USD,2026-03-01 10:25:00,66530.0859375,66575.140625,66594.15625,66530.0859375,0,0.0
BTC-USD,2026-03-01 10:30:00,66580.265625,66547.71875,66605.9375,66547.71875,0,0.0
BTC-USD,2026-03-01 10:35:00,66571.9453125,66686.8828125,66727.0,66571.9453125,0,0.0
BTC-USD,2026-03-01 10:40:00,66507.1953125,66510.5078125,66510.5078125,66472.140625,29675520,0.0
BTC-USD,2026-03-01 10:45:00,66400.2265625,66522.203125,66522.203125,66400.2265625,0,0.0
BTC-USD,2026-03-01 10:50:00,66498.8671875,66476.9296875,66499.2734375,66428.0703125,0,0.0
BTC-USD,2026-03-01 10:55:00,66481.640625,66472.515625,66490.90625,66472.515625,613920768,0.0
BTC-USD,2026-03-01 11:00:00,66491.125,66453.8515625,66491.125,66453.8515625,0,0.0
BTC-USD,2026-03-01 11:05:00,66469.796875,66503.5078125,66518.875,66469.796875,0,0.0
BTC-USD,2026-03-01 11:10:00,66501.5078125,66504.796875,66516.6015625,66501.5078125,0,0.0
BTC-USD,2026-03-01 11:15:00,66512.5703125,66600.6875,66612.9375,66512.5703125,0,0.0
BTC-USD,2026-03-01 11:20:00,66602.6640625,66548.7734375,66631.5546875,66548.7734375,0,0.0
BTC-USD,2026-03-01 11:25:00,66557.796875,66571.015625,66591.203125,66557.796875,0,0.0
BTC-USD,2026-03-01 11:30:00,66560.984375,66534.4765625,66568.15625,66534.4765625,0,0.0
BTC-USD,2026-03-01 11:35:00,66461.1875,66475.15625,66498.3125,66461.1875,0,0.0
BTC-USD,2026-03-01 11:40:00,66472.078125,66495.484375,66530.9765625,66472.078125,6750208,0.0
BTC-USD,2026-03-01 11:45:00,66465.265625,66442.90625,66489.484375,66401.1875,0,0.0
BTC-USD,2026-03-01 11:50:00,66438.015625,66472.75,66472.75,66438.015625,14180352,0.0
BTC-USD,2026-03-01 11:55:00,66486.234375,66468.6328125,66486.234375,66462.8203125,354488320,0.0
BTC-USD,2026-03-01 12:00:00,66467.8359375,66524.0625,66524.0625,66467.8359375,0,0.0
BTC-USD,2026-03-01 12:05:00,66502.1875,66520.4140625,66520.4140625,66449.7578125,0,0.0
BTC-USD,2026-03-01 12:10:00,66536.6953125,66513.8046875,66537.9609375,66509.96875,0,0.0
BTC-USD,2026-03-01 12:15:00,66507.6015625,66528.8671875,66528.8671875,66507.0390625,0,0.0
BTC-USD,2026-03-01 12:20:00,66534.359375,66445.578125,66534.359375,66445.578125,0,0.0
BTC-USD,2026-03-01 12:25:00,66460.6015625,66438.3515625,66481.0703125,66438.3515625,0,0.0
BTC-USD,2026-03-01 12:30:00,66421.90625,66375.859375,66446.03125,66375.859375,0,0.0
BTC-USD,2026-03-01 12:35:00,66300.765625,66326.5234375,66326.5234375,66254.0859375,0,0.0
BTC-USD,2026-03-01 12:40:00,66354.3828125,66509.0390625,66509.0390625,66354.3828125,0,0.0
BTC-USD,2026-03-01 12:45:00,66487.3671875,66368.640625,66487.3671875,66368.640625,123359232,0.0
BTC-USD,2026-03-01 12:50:00,66344.3359375,66325.9609375,66344.3359375,66325.9609375,0,0.0
BTC-USD,2026-03-01 12:55:00,66349.0390625,66342.71875,66358.9375,66341.6484375,0,0.0
BTC-USD,2026-03-01 13:00:00,66313.9296875,66347.8203125,66353.9296875,66313.9296875,0,0.0
BTC-USD,2026-03-01 13:05:00,66363.0390625,66388.25,66388.25,66360.015625,0,0.0
BTC-USD,2026-03-01 13:10:00,66338.65625,66369.4375,66370.78125,66335.3984375,42999808,0.0
BTC-USD,2026-03-01 13:15:00,66359.9375,66393.6640625,66393.6640625,66354.734375,0,0.0
BTC-USD,2026-03-01 13:20:00,66172.859375,66229.3125,66229.3125,66168.3359375,0,0.0
BTC-USD,2026-03-01 13:25:00,66250.7421875,66332.1015625,66369.3984375,66250.7421875,0,0.0
BTC-USD,2026-03-01 13:30:00,66325.515625,66316.1640625,66325.515625,66283.71875,12357632,0.0
BTC-USD,2026-03-01 13:35:00,66312.5390625,66314.515625,66320.40625,66312.5390625,150528000,0.0
BTC-USD,2026-03-01 13:40:00,66356.75,66364.5546875,66364.5546875,66356.75,0,0.0
BTC-USD,2026-03-01 13:45:00,66359.0390625,66359.875,66393.4296875,66359.0390625,0,0.0
BTC-USD,2026-03-01 13:50:00,66377.9140625,67175.6640625,67175.6640625,66377.9140625,0,0.0
