date,Close,High,Low,Open,Volume,Adjclose,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
2024-04-01 00:00:00+00:00,121.53,122.3999,120.78,122.06,8340899,119.1198376323,119.9724859229,118.3847115052,119.6393267621,8340899,0.0,1.0
2024-04-02 00:00:00+00:00,122.82,123.53,120.16,120.22,15437153,120.3842545709,121.0801739712,117.7770072402,117.8358173304,15437153,0.0,1.0
2024-04-03 00:00:00+00:00,118.98,123.6902,118.38,122.27,22394430,116.6204088002,121.237196912,116.0323078986,119.8451620777,22394430,0.0,1.0
2024-04-04 00:00:00+00:00,117.09,120.19,116.96,119.22,13760143,114.76789096,117.8064122853,114.640469098,116.8556491609,13760143,0.0,1.0
2024-04-05 00:00:00+00:00,118.38,118.86,116.3,116.6,9629442,116.0323078986,116.5027886199,113.9935581061,114.287608557,9629442,0.0,1.0
2024-04-08 00:00:00+00:00,117.35,118.52,116.82,118.02,6257313,115.0227346841,116.1695314423,114.5032455542,115.6794473576,6257313,0.0,1.0
2024-04-09 00:00:00+00:00,117.97,118.51,116.89,117.38,7361842,115.6304389491,116.1597297606,114.5718573261,115.0521397291,7361842,0.0,1.0
2024-04-10 00:00:00+00:00,117.19,117.56,116.37,116.6,6746282,114.8659077769,115.2285699996,114.062169878,114.287608557,6746282,0.0,1.0
2024-04-11 00:00:00+00:00,117.15,118.28,116.37,117.59,6559411,114.8267010502,115.9342910816,114.062169878,115.2579750447,6559411,0.0,1.0
2024-04-12 00:00:00+00:00,114.01,116.7,113.73,116.39,12155166,111.7489729981,114.3856253739,111.4745259107,114.0817732414,12155166,0.0,1.0
2024-04-15 00:00:00+00:00,112.95,115.55,112.77,114.875,9637095,110.7099947385,113.2584319791,110.533564468,112.5968184647,9637095,0.0,1.0
2024-04-16 00:00:00+00:00,113.88,114.5,112.52,112.82,9291419,111.6215511361,112.2292554011,110.2885224256,110.5825728765,9291419,0.0,1.0
2024-04-17 00:00:00+00:00,112.94,114.21,112.89,114.0,7378993,110.7001930568,111.945006632,110.6511846483,111.7391713164,7378993,0.0,1.0
2024-04-18 00:00:00+00:00,112.43,114.25,112.19,113.18,8235636,110.2003072904,111.9842133588,109.9650669297,110.9354334175,8235636,0.0,1.0
2024-04-19 00:00:00+00:00,112.61,112.715,111.08,111.72,9436023,110.3767375609,110.4796552187,108.8770802616,109.5043878901,9436023,0.0,1.0
2024-04-22 00:00:00+00:00,111.99,113.64,111.75,113.1,6901689,109.7690332958,111.3863107754,109.5337929352,110.8570199639,6901689,0.0,1.0
2024-04-23 00:00:00+00:00,113.71,114.24,112.8,112.83,6839318,111.4549225473,111.9744116771,110.5629695131,110.5923745582,6839318,0.0,1.0
2024-04-24 00:00:00+00:00,113.92,114.18,113.14,113.14,6157230,111.6607578629,111.9156015869,110.8962266907,110.8962266907,6157230,0.0,1.0
2024-04-25 00:00:00+00:00,112.77,112.89,110.39,111.22,8045906,110.533564468,110.6511846483,108.2007642247,109.0143038054,8045906,0.0,1.0
2024-04-26 00:00:00+00:00,112.73,113.0218,111.32,111.85,6304843,110.4943577412,110.7803708131,109.1123206223,109.6318097521,6304843,0.0,1.0
2024-04-29 00:00:00+00:00,112.08,113.88,110.34,113.04,7169209,109.8572484311,111.6215511361,108.1517558163,110.7982098738,7169209,0.0,1.0
2024-04-30 00:00:00+00:00,111.1,112.04,110.8,112.0,8156575,108.896683625,109.8180417043,108.6026331742,109.7788349775,8156575,0.0,1.0
2024-05-01 00:00:00+00:00,110.48,111.99,110.21,111.29,6346109,108.28897936,109.7690332958,108.0243339542,109.0829155772,6346109,0.0,1.0
2024-05-02 00:00:00+00:00,112.62,112.87,110.56,111.43,6799805,110.3865392426,110.631581285,108.3673928135,109.220139121,6799805,0.0,1.0
2024-05-03 00:00:00+00:00,113.66,114.11,112.7996,113.54,7411112,111.4059141388,111.8469898151,110.5625774458,111.2882939585,7411112,0.0,1.0
2024-05-06 00:00:00+00:00,116.47,116.94,114.15,114.8,16303234,114.1601866949,114.6208657346,111.8861965418,112.523305852,16303234,0.0,1.0
2024-05-07 00:00:00+00:00,105.39,107.88,104.21,107.25,55084617,103.2999233775,105.7405421194,102.1433249376,105.1230361727,55084617,0.0,1.0
2024-05-08 00:00:00+00:00,105.44,106.48,104.44,104.9,15238111,103.348931786,104.3683066822,102.3687636166,102.8196409745,15238111,0.0,1.0
2024-05-09 00:00:00+00:00,105.8,106.13,104.39,104.62,15095970,103.701792327,104.0252478229,102.3197552081,102.5451938871,15095970,0.0,1.0
2024-05-10 00:00:00+00:00,105.79,107.02,105.42,106.92,15884574,103.6919906453,104.8975974937,103.3293284226,104.7995806768,15884574,0.0,1.0
2024-05-13 00:00:00+00:00,105.83,106.6408,105.59,105.59,9666409,103.7311973721,104.5259177239,103.4959570114,103.4959570114,9666409,0.0,1.0
2024-05-14 00:00:00+00:00,105.35,105.99,104.95,105.3,11278423,103.2607166507,103.8880242792,102.868649383,103.2117082423,11278423,0.0,1.0
2024-05-15 00:00:00+00:00,102.77,105.88,101.39,105.62,20745621,100.7318827736,103.7802057806,99.3792506998,103.5253620565,20745621,0.0,1.0
2024-05-16 00:00:00+00:00,103.37,104.03,102.84,103.04,9476686,101.3199836753,101.9668946671,100.8004945454,100.9965281793,9476686,0.0,1.0
2024-05-17 00:00:00+00:00,103.25,103.82,103.04,103.63,7355999,101.2023634949,101.7610593515,100.9965281793,101.5748273993,7355999,0.0,1.0
2024-05-20 00:00:00+00:00,102.9,103.67,102.52,103.33,7667435,100.8593046356,101.6140341261,100.4868407312,101.2807769485,7667435,0.0,1.0
2024-05-21 00:00:00+00:00,103.01,103.6999,102.72,102.99,7333306,100.9671231343,101.6433411543,100.6828743651,100.9475197709,7333306,0.0,1.0
2024-05-22 00:00:00+00:00,103.02,103.83,102.745,102.98,7190343,100.9769248159,101.7708610332,100.7073785693,100.9377180892,7190343,0.0,1.0
2024-05-23 00:00:00+00:00,100.66,103.01,100.27,102.98,10503993,98.6637279361,100.9671231343,98.28146235,100.9377180892,10503993,0.0,1.0
2024-05-24 00:00:00+00:00,101.76,102.09,100.69,100.85,6451579,99.7419129224,100.0653684184,98.6931329811,98.8499598883,6451579,0.0,1.0
2024-05-28 00:00:00+00:00,102.44,102.8599,100.945,101.36,7813094,100.4084272777,100.819999892,98.9430758644,99.3498456547,7813094,0.0,1.0
2024-05-29 00:00:00+00:00,100.88,102.08,100.77,101.76,7376258,98.8793649333,100.0555667367,98.7715464347,99.7419129224,7376258,0.0,1.0
2024-05-30 00:00:00+00:00,101.7,102.07,100.97,101.135,7303708,99.6831028323,100.045765055,98.9675800686,99.1293078165,7303708,0.0,1.0
2024-05-31 00:00:00+00:00,103.91,104.08,101.41,101.52,14735791,101.8492744867,102.0159030756,99.3988540631,99.5066725618,14735791,0.0,1.0
2024-06-03 00:00:00+00:00,102.77,104.22,102.48,104.17,6908604,100.7318827736,102.1531266193,100.4476340044,102.1041182108,6908604,0.0,1.0
2024-06-04 00:00:00+00:00,103.33,103.49,101.63,102.105,7269109,101.2807769485,101.4376038556,99.6144910604,100.0800709409,7269109,0.0,1.0
2024-06-05 00:00:00+00:00,101.5,103.08,101.0299,103.0,10796877,99.4870691984,101.0357349061,99.0262921419,100.9573214526,10796877,0.0,1.0
2024-06-06 00:00:00+00:00,101.21,101.93,100.8101,101.05,10294705,99.2028204293,99.9085415113,98.8108511783,99.0459935221,10294705,0.0,1.0
2024-06-07 00:00:00+00:00,101.54,102.27,100.552,100.86,6047828,99.5262759252,100.2417986889,98.5578697738,98.8597615699,6047828,0.0,1.0
2024-06-10 00:00:00+00:00,102.74,102.845,100.635,101.25,7633073,100.7024777285,100.8053953863,98.6392237318,99.242027156,7633073,0.0,1.0
2024-06-11 00:00:00+00:00,100.87,102.88,100.74,102.64,9134218,98.8695632516,100.8397012722,98.7421413896,100.6044609116,9134218,0.0,1.0
2024-06-12 00:00:00+00:00,100.8,101.69,100.25,101.2,9041768,98.8009514798,99.6733011506,98.2618589866,99.1930187476,9041768,0.0,1.0
2024-06-13 00:00:00+00:00,100.09,101.07,99.605,100.61,10164570,98.1050320795,99.0655968855,97.6296505173,98.6147195276,10164570,0.0,1.0
2024-06-14 00:00:00+00:00,99.97,100.38,99.25,99.81,7087573,97.9874118991,98.3892808486,97.2816908171,97.830584992,7087573,0.0,1.0
2024-06-17 00:00:00+00:00,101.52,101.92,100.62,100.98,10388986,99.5066725618,99.8987398296,98.6245212093,98.9773817503,10388986,0.0,1.0
2024-06-18 00:00:00+00:00,101.5,101.76,100.61,101.12,7044674,99.4870691984,99.7419129224,98.6147195276,99.114605294,7044674,0.0,1.0
2024-06-20 00:00:00+00:00,101.84,101.935,100.38,100.57,7886934,99.820326376,99.9134423521,98.3892808486,98.5755128008,7886934,0.0,1.0
2024-06-21 00:00:00+00:00,102.27,102.54,101.585,101.795,14144918,100.2417986889,100.5064440946,99.5703834928,99.7762188084,14144918,0.0,1.0
