Date,AdjClose,Close,High,Low,Open,Volume
1995-07-01,7.185376167297363,13.5,13.6875,11.6875,11.8125,39387800
1995-08-01,6.2206711769104,11.6875,13.4375,11.3125,13.4375,18460000
1995-09-01,6.819453239440918,12.8125,13.0,11.5625,11.625,11674400
1995-10-01,6.10905122756958,11.375,13.0,11.375,12.875,7232000
1995-11-01,7.283871650695801,13.5625,13.75,11.3125,11.3125,12178400
1995-12-01,7.55239725112915,14.0625,15.375,13.375,13.5,12185600
1996-01-01,7.986721992492676,14.8125,14.8125,13.6875,14.0,15570800
1996-02-01,8.795507431030273,16.3125,16.5625,14.75,14.8125,12535800
1996-03-01,8.52591323852539,15.8125,16.875,14.3125,16.4375,11279800
1996-04-01,8.92194652557373,16.4375,17.375,15.375,15.8125,8867400
1996-05-01,9.023717880249023,16.625,18.0625,15.9375,16.375,9121800
1996-06-01,8.650554656982422,15.9375,16.875,15.0,16.5,11248000
1996-07-01,8.097538948059082,14.8125,16.3125,14.1875,15.9375,11869600
1996-08-01,8.02920913696289,14.6875,16.375,14.375,15.0,8689200
1996-09-01,8.541707992553711,15.625,16.5,14.5,14.625,9791000
1996-10-01,8.363738059997559,15.1875,16.4375,15.125,15.5625,8032600
1996-11-01,8.67350959777832,15.75,16.375,14.625,15.25,9027400
1996-12-01,8.226067543029785,14.9375,16.0625,14.0,15.6875,10215000
1997-01-01,7.977137565612793,14.375,16.0625,14.125,15.0,9721600
1997-02-01,9.433832168579102,17.0,17.4375,13.75,14.5,19232600
1997-03-01,8.428022384643555,15.1875,16.9375,14.625,16.875,13754600
1997-04-01,8.146951675415039,14.5625,15.3125,13.25,15.125,14424400
1997-05-01,8.146951675415039,14.5625,15.9375,14.4375,14.5,8884600
1997-06-01,8.706391334533691,15.5625,15.5625,14.0,14.5,11284200
1997-07-01,8.248496055603027,14.625,15.375,13.625,15.375,17070200
1997-08-01,7.895991802215576,14.0,15.1875,13.96875,14.59375,11288800
1997-09-01,8.125118255615234,14.40625,14.59375,13.59375,14.0,16822200
1997-10-01,6.804321765899658,11.96875,14.96875,11.125,14.40625,16966400
1997-11-01,5.951564788818359,10.46875,12.8125,10.4375,12.15625,13964000
1997-12-01,4.476997375488281,7.875,10.5,7.46875,10.5,29490600
1998-01-01,4.189359664916992,7.34375,8.0,6.53125,7.875,26263800
1998-02-01,4.296325206756592,7.53125,8.03125,6.6875,7.375,19184200
1998-03-01,5.686835765838623,9.96875,10.4375,6.8125,7.53125,45568200
1998-04-01,5.396936893463135,9.4375,10.71875,9.34375,9.875,26760400
1998-05-01,4.789337158203125,8.375,9.46875,7.71875,9.40625,25574400
1998-06-01,4.342568874359131,7.59375,8.84375,7.40625,8.375,21307800
1998-07-01,4.249392509460449,7.40625,8.3125,7.375,7.59375,14065200
1998-08-01,3.334965705871582,5.8125,7.59375,5.75,7.40625,25867400
1998-09-01,3.424616813659668,5.96875,7.09375,5.625,5.875,39785400
1998-10-01,3.529867649078369,6.125,6.46875,5.4375,6.03125,31575000
1998-11-01,3.7639904022216797,6.53125,7.5625,5.875,6.09375,18838800
1998-12-01,3.0075900554656982,5.21875,6.65625,4.90625,6.59375,22699800
1999-01-01,2.8094871044158936,4.875,6.375,4.71875,5.3125,18341600
1999-02-01,2.7194385528564453,4.71875,5.75,4.5625,5.0,20050000
1999-03-01,3.133657693862915,5.4375,5.59375,4.5625,4.65625,27857600
1999-04-01,4.4123358726501465,7.65625,8.21875,5.03125,5.4375,31942000
1999-05-01,4.070153713226318,7.0625,8.84375,6.9375,7.6875,34110800
1999-06-01,5.168735027313232,8.96875,9.0,6.90625,7.03125,22621600
1999-07-01,4.862569808959961,8.4375,9.34375,8.4375,8.96875,13222600
1999-08-01,4.6284499168396,8.03125,9.3125,8.0,8.4375,21026000
1999-09-01,4.484372138977051,7.78125,8.59375,7.0,8.0625,32531400
1999-10-01,4.808545112609863,8.34375,9.0,7.96875,8.1875,22248800
1999-11-01,4.5564117431640625,7.90625,9.15625,7.78125,8.3125,20977000
1999-12-01,6.087219715118408,10.5625,10.6875,7.78125,7.90625,20505000
2000-01-01,5.024656772613525,8.71875,10.71875,8.15625,10.53125,27422800
2000-02-01,3.962096929550171,6.875,9.46875,6.8125,8.59375,24138600
