Date,AdjClose,Close,High,Low,Open,Volume
1995-07-10,6.919251441955566,13.0,13.125,11.8125,11.8125,13760000
1995-07-17,6.420266151428223,12.0625,13.0,11.6875,13.0,3419000
1995-07-24,7.2851738929748535,13.6875,13.6875,12.0625,12.0625,19664200
1995-07-31,6.752923488616943,12.6875,13.625,12.5,13.625,9474800
1995-08-07,6.653125762939453,12.5,12.625,12.1875,12.625,4624000
1995-08-14,6.520063400268555,12.25,12.5625,12.125,12.5,2179000
1995-08-21,6.287203311920166,11.8125,12.4375,11.4375,12.3125,3095200
1995-08-28,6.253935813903809,11.75,11.8125,11.3125,11.8125,2226200
1995-09-04,6.18740701675415,11.625,12.0,11.5625,11.875,2597600
1995-09-11,6.58659553527832,12.375,12.4375,11.5625,11.625,2494400
1995-09-18,6.553328990936279,12.3125,12.4375,12.1875,12.375,3058200
1995-09-25,6.819452285766602,12.8125,13.0,12.25,12.375,2929600
1995-10-02,6.653125762939453,12.5,12.875,12.375,12.875,1243800
1995-10-09,6.881075859069824,12.8125,13.0,12.3125,12.4375,1936800
1995-10-16,6.646110534667969,12.375,12.875,12.375,12.875,2420200
1995-10-23,6.377582550048828,11.875,12.4375,11.5,12.375,1232600
1995-10-30,6.243316173553467,11.625,11.875,11.3125,11.875,3113400
1995-11-06,6.646110534667969,12.375,12.375,11.5,11.5625,2257600
1995-11-13,6.713245391845703,12.5,12.6875,12.3125,12.375,2260400
1995-11-20,7.116042613983154,13.25,13.4375,12.4375,12.5,2035000
1995-11-27,7.384571552276611,13.75,13.75,13.1875,13.3125,3076600
1995-12-04,7.820928573608398,14.5625,15.375,13.75,13.75,3959800
1995-12-11,7.921627044677734,14.75,15.125,14.5,14.5625,3647600
1995-12-18,7.485269069671631,13.9375,14.6875,13.5,14.625,3173400
1995-12-25,7.552399635314941,14.0625,14.1875,13.625,14.0,1238800
1996-01-01,7.485269069671631,13.9375,14.0625,13.6875,14.0,3204600
1996-01-08,7.616032600402832,14.125,14.5,13.875,13.9375,3997000
1996-01-15,7.649729251861572,14.1875,14.1875,13.75,14.125,2724000
1996-01-22,7.919325828552246,14.6875,14.8125,14.125,14.1875,3768600
1996-01-29,8.458512306213379,15.6875,15.8125,14.5,14.6875,3950000
1996-02-05,8.357417106628418,15.5,16.0625,15.25,15.8125,3792800
1996-02-12,8.458512306213379,15.6875,15.875,15.4375,15.4375,2210000
1996-02-19,8.694406509399414,16.125,16.125,15.125,15.5625,1781600
1996-02-26,9.065101623535156,16.8125,16.8125,15.875,16.0625,3245400
1996-03-04,8.42481517791748,15.625,16.875,15.5,16.8125,2106000
1996-03-11,8.32371711730957,15.4375,15.6875,14.3125,15.375,3417600
1996-03-18,8.32371711730957,15.4375,15.6875,15.125,15.375,3116800
1996-03-25,8.525909423828125,15.8125,16.5,15.1875,15.5625,2072000
1996-04-01,9.031402587890625,16.75,16.875,15.375,15.8125,1579200
1996-04-08,9.05764102935791,16.6875,17.1875,16.3125,16.5,2757800
1996-04-15,8.684483528137207,16.0,17.0,15.875,16.625,1631800
1996-04-22,9.159415245056152,16.875,17.375,15.8125,16.125,2379400
1996-04-29,8.752327919006348,16.125,16.8125,15.9375,16.75,1374400
1996-05-06,9.53257942199707,17.5625,17.75,16.0625,16.0625,2167400
1996-05-13,9.668266296386719,17.8125,18.0625,17.4375,17.5625,1916000
1996-05-20,9.32903003692627,17.1875,17.875,16.9375,17.0,2105200
1996-05-27,9.023716926574707,16.625,17.1875,16.125,17.125,2078000
1996-06-03,8.718404769897461,16.0625,16.875,15.5,16.5,2539600
1996-06-10,8.277399063110352,15.25,16.625,15.0,16.25,2778600
1996-06-17,8.616632461547852,15.875,16.375,15.25,15.3125,3080400
1996-06-24,8.650556564331055,15.9375,16.0625,15.4375,16.0625,2849400
1996-07-01,8.582707405090332,15.8125,16.3125,15.75,15.9375,1192200
1996-07-08,8.507538795471191,15.5625,16.25,15.375,15.625,3513400
1996-07-15,8.063371658325195,14.75,15.4375,14.6875,15.375,3393800
1996-07-22,8.097541809082031,14.8125,14.875,14.1875,14.75,2383800
1996-07-29,8.40503978729248,15.375,15.5,14.1875,14.75,2121000
1996-08-05,8.302541732788086,15.1875,16.375,15.125,15.4375,2277400
1996-08-12,7.892539978027344,14.4375,15.125,14.375,15.0625,2051200
1996-08-19,7.995038986206055,14.625,15.125,14.375,14.5625,1293400
1996-08-26,8.029208183288574,14.6875,15.25,14.5625,14.5625,2332600
1996-09-02,8.165871620178223,14.9375,15.125,14.5,14.625,1455600
1996-09-09,8.644207954406738,15.8125,15.875,14.875,15.0625,2242000
1996-09-16,8.746712684631348,16.0,16.5,15.625,15.875,3921600
1996-09-23,8.575875282287598,15.6875,16.0,15.375,16.0,1706800
1996-09-30,8.473377227783203,15.5,15.75,15.4375,15.6875,1600000
1996-10-07,8.570250511169434,15.5625,15.625,15.125,15.5,2009800
