symbol,dt,open,close,high,low,vol,amount
MSFT,2026-03-02 14:30:00,392.855,393.45,394.885,390.84,5363.0,0.0
MSFT,2026-03-02 14:35:00,393.5,394.43,395.625,393.46,4178.0,0.0
MSFT,2026-03-02 14:40:00,395.35,395.525,396.735,394.67,1454.0,0.0
MSFT,2026-03-02 14:45:00,395.38,396.345,397.045,395.21,9863.0,0.0
MSFT,2026-03-02 14:50:00,396.32,395.86,396.595,394.6,7915.0,0.0
MSFT,2026-03-02 14:55:00,396.14,398.075,398.3,396.14,10382.0,0.0
MSFT,2026-03-02 15:00:00,397.86,396.87,397.89,396.495,3271.0,0.0
MSFT,2026-03-02 15:05:00,397.16,397.7,398.1,396.315,3988.0,0.0
MSFT,2026-03-02 15:10:00,397.76,399.1,399.48,397.76,3563.0,0.0
MSFT,2026-03-02 15:15:00,399.11,399.39,399.595,398.5,1832.0,0.0
MSFT,2026-03-02 15:20:00,399.37,398.925,399.7,398.22,3387.0,0.0
MSFT,2026-03-02 15:25:00,398.9,398.43,399.41,398.17,5063.0,0.0
MSFT,2026-03-02 15:30:00,398.52,397.69,398.8,397.635,3167.0,0.0
MSFT,2026-03-02 15:35:00,397.64,399.41,399.665,397.51,3843.0,0.0
MSFT,2026-03-02 15:40:00,399.16,399.36,399.85,399.08,2775.0,0.0
MSFT,2026-03-02 15:45:00,399.195,399.21,399.825,398.57,3007.0,0.0
MSFT,2026-03-02 15:50:00,399.12,398.765,399.66,398.29,7284.0,0.0
MSFT,2026-03-02 15:55:00,398.77,399.445,399.45,398.535,8968.0,0.0
MSFT,2026-03-02 16:00:00,399.25,399.015,399.37,398.35,3919.0,0.0
MSFT,2026-03-02 16:05:00,399.015,399.94,400.045,398.515,6449.0,0.0
MSFT,2026-03-02 16:10:00,399.945,399.355,400.12,399.08,11168.0,0.0
MSFT,2026-03-02 16:15:00,399.26,398.84,399.505,398.84,7734.0,0.0
MSFT,2026-03-02 16:20:00,398.89,398.08,398.89,398.01,7944.0,0.0
MSFT,2026-03-02 16:25:00,398.08,397.215,398.45,396.87,6505.0,0.0
MSFT,2026-03-02 16:30:00,397.145,397.015,397.58,396.34,7304.0,0.0
MSFT,2026-03-02 16:35:00,396.98,399.09,399.09,396.735,4835.0,0.0
MSFT,2026-03-02 16:40:00,399.1,399.68,399.9,399.065,3586.0,0.0
