date,Close,High,Low,Open
2026-04-02 13:30:00+00:00,6.005,6.025,6.0,6.0
2026-04-02 13:31:00+00:00,6.075,6.095,6.0,6.005
2026-04-02 13:32:00+00:00,6.085,6.085,6.065,6.075
2026-04-02 13:33:00+00:00,6.08,6.09,6.075,6.085
2026-04-02 13:34:00+00:00,6.075,6.085,6.065,6.085
2026-04-02 13:35:00+00:00,6.06,6.075,6.06,6.075
2026-04-02 13:36:00+00:00,6.105,6.11,6.075,6.075
2026-04-02 13:37:00+00:00,6.105,6.105,6.105,6.105
2026-04-02 13:38:00+00:00,6.115,6.125,6.105,6.105
2026-04-02 13:39:00+00:00,6.125,6.135,6.115,6.115
2026-04-02 13:40:00+00:00,6.125,6.125,6.115,6.125
2026-04-02 13:41:00+00:00,6.155,6.155,6.125,6.125
2026-04-02 13:42:00+00:00,6.16,6.17,6.16,6.16
2026-04-02 13:43:00+00:00,6.125,6.175,6.115,6.17
2026-04-02 13:44:00+00:00,6.125,6.135,6.125,6.125
2026-04-02 13:45:00+00:00,6.125,6.135,6.115,6.135
2026-04-02 13:46:00+00:00,6.165,6.175,6.125,6.125
2026-04-02 13:47:00+00:00,6.185,6.185,6.165,6.165
2026-04-02 13:48:00+00:00,6.19,6.19,6.185,6.185
2026-04-02 13:49:00+00:00,6.175,6.195,6.165,6.185
2026-04-02 13:50:00+00:00,6.175,6.185,6.17,6.175
2026-04-02 13:51:00+00:00,6.165,6.175,6.16,6.175
2026-04-02 13:52:00+00:00,6.165,6.165,6.165,6.165
2026-04-02 13:53:00+00:00,6.19,6.19,6.165,6.165
2026-04-02 13:54:00+00:00,6.19,6.195,6.185,6.185
2026-04-02 13:55:00+00:00,6.185,6.195,6.185,6.185
2026-04-02 13:56:00+00:00,6.185,6.185,6.185,6.185
2026-04-02 13:57:00+00:00,6.175,6.19,6.175,6.185
2026-04-02 13:58:00+00:00,6.18,6.18,6.175,6.175
2026-04-02 13:59:00+00:00,6.175,6.175,6.165,6.175
2026-04-02 14:00:00+00:00,6.165,6.175,6.16,6.175
2026-04-02 14:01:00+00:00,6.185,6.185,6.175,6.175
2026-04-02 14:02:00+00:00,6.165,6.185,6.165,6.185
2026-04-02 14:03:00+00:00,6.165,6.165,6.16,6.165
2026-04-02 14:04:00+00:00,6.175,6.175,6.165,6.165
2026-04-02 14:05:00+00:00,6.155,6.175,6.155,6.175
2026-04-02 14:06:00+00:00,6.165,6.165,6.155,6.155
2026-04-02 14:07:00+00:00,6.155,6.165,6.155,6.165
2026-04-02 14:08:00+00:00,6.165,6.165,6.155,6.155
2026-04-02 14:09:00+00:00,6.17,6.17,6.165,6.165
2026-04-02 14:10:00+00:00,6.17,6.17,6.165,6.165
2026-04-02 14:11:00+00:00,6.16,6.165,6.16,6.165
2026-04-02 14:12:00+00:00,6.155,6.165,6.155,6.165
2026-04-02 14:13:00+00:00,6.15,6.155,6.15,6.155
2026-04-02 14:14:00+00:00,6.155,6.155,6.155,6.155
2026-04-02 14:15:00+00:00,6.15,6.155,6.145,6.155
2026-04-02 14:16:00+00:00,6.155,6.165,6.155,6.155
2026-04-02 14:17:00+00:00,6.16,6.165,6.155,6.155
2026-04-02 14:18:00+00:00,6.175,6.175,6.165,6.165
2026-04-02 14:19:00+00:00,6.175,6.175,6.175,6.175
2026-04-02 14:20:00+00:00,6.165,6.175,6.165,6.175
2026-04-02 14:21:00+00:00,6.175,6.175,6.165,6.165
2026-04-02 14:22:00+00:00,6.175,6.175,6.175,6.175
2026-04-02 14:23:00+00:00,6.175,6.175,6.175,6.175
2026-04-02 14:24:00+00:00,6.175,6.175,6.175,6.175
2026-04-02 14:25:00+00:00,6.155,6.175,6.155,6.175
2026-04-02 14:26:00+00:00,6.155,6.155,6.155,6.155
2026-04-02 14:27:00+00:00,6.135,6.155,6.135,6.155
2026-04-02 14:28:00+00:00,6.155,6.155,6.135,6.135
2026-04-02 14:29:00+00:00,6.155,6.155,6.155,6.155
2026-04-02 14:30:00+00:00,6.145,6.155,6.145,6.155
2026-04-02 14:31:00+00:00,6.145,6.145,6.145,6.145
2026-04-02 14:32:00+00:00,6.145,6.145,6.135,6.145
2026-04-02 14:33:00+00:00,6.145,6.155,6.145,6.145
2026-04-02 14:34:00+00:00,6.155,6.155,6.145,6.15
2026-04-02 14:35:00+00:00,6.175,6.175,6.155,6.155
2026-04-02 14:36:00+00:00,6.225,6.235,6.175,6.175
2026-04-02 14:37:00+00:00,6.225,6.24,6.215,6.225
2026-04-02 14:38:00+00:00,6.205,6.225,6.205,6.225
2026-04-02 14:39:00+00:00,6.195,6.205,6.185,6.205
2026-04-02 14:40:00+00:00,6.17,6.185,6.17,6.185
2026-04-02 14:41:00+00:00,6.165,6.175,6.165,6.175
2026-04-02 14:42:00+00:00,6.165,6.165,6.165,6.165
2026-04-02 14:43:00+00:00,6.175,6.175,6.165,6.165
2026-04-02 14:44:00+00:00,6.175,6.175,6.175,6.175
2026-04-02 14:45:00+00:00,6.165,6.175,6.165,6.175
2026-04-02 14:46:00+00:00,6.165,6.165,6.155,6.165
