date,Close,High,Low,Open,Volume,Adjclose,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
2024-04-01 00:00:00+00:00,4.64,4.75,4.565,4.63,38796167,4.64,4.75,4.565,4.63,38796167,0.0,1.0
2024-04-02 00:00:00+00:00,4.54,4.58,4.38,4.47,38705854,4.54,4.58,4.38,4.47,38705854,0.0,1.0
2024-04-03 00:00:00+00:00,4.49,4.51,4.36,4.46,32728455,4.49,4.51,4.36,4.46,32728455,0.0,1.0
2024-04-04 00:00:00+00:00,4.5,4.75,4.49,4.55,53282665,4.5,4.75,4.49,4.55,53282665,0.0,1.0
2024-04-05 00:00:00+00:00,4.39,4.58,4.38,4.5,41376881,4.39,4.58,4.38,4.5,41376881,0.0,1.0
2024-04-08 00:00:00+00:00,4.37,4.53,4.37,4.41,46818391,4.37,4.53,4.37,4.41,46818391,0.0,1.0
2024-04-09 00:00:00+00:00,4.71,4.79,4.42,4.43,75857898,4.71,4.79,4.42,4.43,75857898,0.0,1.0
2024-04-10 00:00:00+00:00,4.59,4.69,4.54,4.58,32567955,4.59,4.69,4.54,4.58,32567955,0.0,1.0
2024-04-11 00:00:00+00:00,4.46,4.61,4.43,4.6,39040165,4.46,4.61,4.43,4.6,39040165,0.0,1.0
2024-04-12 00:00:00+00:00,4.11,4.35,4.085,4.35,74932096,4.11,4.35,4.085,4.35,74932096,0.0,1.0
2024-04-15 00:00:00+00:00,3.89,4.19,3.8201,4.19,70661317,3.89,4.19,3.8201,4.19,70661317,0.0,1.0
2024-04-16 00:00:00+00:00,3.81,3.91,3.71,3.75,42222200,3.81,3.91,3.71,3.75,42222200,0.0,1.0
2024-04-17 00:00:00+00:00,3.91,3.96,3.84,3.865,38766961,3.91,3.96,3.84,3.865,38766961,0.0,1.0
2024-04-18 00:00:00+00:00,4.0,4.09,3.85,3.9,38392131,4.0,4.09,3.85,3.9,38392131,0.0,1.0
2024-04-19 00:00:00+00:00,3.8,3.92,3.78,3.86,35883783,3.8,3.92,3.78,3.86,35883783,0.0,1.0
2024-04-22 00:00:00+00:00,4.0,4.05,3.61,3.68,60179617,4.0,4.05,3.61,3.68,60179617,0.0,1.0
2024-04-23 00:00:00+00:00,4.01,4.13,3.98,3.99,41987837,4.01,4.13,3.98,3.99,41987837,0.0,1.0
2024-04-24 00:00:00+00:00,4.15,4.22,4.05,4.15,34562025,4.15,4.22,4.05,4.15,34562025,0.0,1.0
2024-04-25 00:00:00+00:00,4.13,4.17,4.03,4.05,25888388,4.13,4.17,4.03,4.05,25888388,0.0,1.0
2024-04-26 00:00:00+00:00,4.49,4.54,4.39,4.43,59264479,4.49,4.54,4.39,4.43,59264479,0.0,1.0
2024-04-29 00:00:00+00:00,4.6,4.68,4.47,4.67,56379782,4.6,4.68,4.47,4.67,56379782,0.0,1.0
2024-04-30 00:00:00+00:00,4.72,4.75,4.51,4.7,52936247,4.72,4.75,4.51,4.7,52936247,0.0,1.0
2024-05-01 00:00:00+00:00,5.27,5.44,4.74,4.76,148038876,5.27,5.44,4.74,4.76,148038876,0.0,1.0
2024-05-02 00:00:00+00:00,5.59,5.67,5.17,5.61,99532818,5.59,5.67,5.17,5.61,99532818,0.0,1.0
2024-05-03 00:00:00+00:00,5.57,5.58,5.33,5.525,54697737,5.57,5.58,5.33,5.525,54697737,0.0,1.0
2024-05-06 00:00:00+00:00,5.69,6.04,5.57,5.75,75633393,5.69,6.04,5.57,5.75,75633393,0.0,1.0
2024-05-07 00:00:00+00:00,5.51,5.83,5.46,5.54,43754080,5.51,5.83,5.46,5.54,43754080,0.0,1.0
2024-05-08 00:00:00+00:00,5.22,5.28,5.11,5.25,54908672,5.22,5.28,5.11,5.25,54908672,0.0,1.0
2024-05-09 00:00:00+00:00,5.33,5.41,5.23,5.37,34679735,5.33,5.41,5.23,5.37,34679735,0.0,1.0
2024-05-10 00:00:00+00:00,5.07,5.35,5.0317,5.28,49019552,5.07,5.35,5.0317,5.28,49019552,0.0,1.0
2024-05-13 00:00:00+00:00,5.41,5.66,5.16,5.2,76621098,5.41,5.66,5.16,5.2,76621098,0.0,1.0
2024-05-14 00:00:00+00:00,5.79,5.85,5.455,5.51,80661006,5.79,5.85,5.455,5.51,80661006,0.0,1.0
2024-05-15 00:00:00+00:00,5.33,6.05,5.21,6.0,112034621,5.33,6.05,5.21,6.0,112034621,0.0,1.0
2024-05-16 00:00:00+00:00,5.26,5.46,5.22,5.37,41788865,5.26,5.46,5.22,5.37,41788865,0.0,1.0
2024-05-17 00:00:00+00:00,5.28,5.39,5.04,5.28,58708428,5.28,5.39,5.04,5.28,58708428,0.0,1.0
2024-05-20 00:00:00+00:00,5.22,5.32,5.1,5.25,47706058,5.22,5.32,5.1,5.25,47706058,0.0,1.0
2024-05-21 00:00:00+00:00,5.25,5.5399,5.14,5.19,75042175,5.25,5.5399,5.14,5.19,75042175,0.0,1.0
2024-05-22 00:00:00+00:00,5.24,5.31,5.14,5.26,36743181,5.24,5.31,5.14,5.26,36743181,0.0,1.0
2024-05-23 00:00:00+00:00,4.8,5.13,4.71,5.12,79112841,4.8,5.13,4.71,5.12,79112841,0.0,1.0
2024-05-24 00:00:00+00:00,4.83,4.92,4.77,4.81,32325257,4.83,4.92,4.77,4.81,32325257,0.0,1.0
2024-05-28 00:00:00+00:00,4.9,5.01,4.83,4.97,46519662,4.9,5.01,4.83,4.97,46519662,0.0,1.0
2024-05-29 00:00:00+00:00,4.93,5.0,4.81,4.82,37706247,4.93,5.0,4.81,4.82,37706247,0.0,1.0
2024-05-30 00:00:00+00:00,5.4,5.44,4.93,4.95,69440020,5.4,5.44,4.93,4.95,69440020,0.0,1.0
2024-05-31 00:00:00+00:00,5.39,5.52,5.26,5.27,63176619,5.39,5.52,5.26,5.27,63176619,0.0,1.0
2024-06-03 00:00:00+00:00,5.34,5.63,5.19,5.54,53566741,5.34,5.63,5.19,5.54,53566741,0.0,1.0
2024-06-04 00:00:00+00:00,5.21,5.37,5.2,5.31,29404534,5.21,5.37,5.2,5.31,29404534,0.0,1.0
2024-06-05 00:00:00+00:00,5.27,5.35,5.15,5.33,49656079,5.27,5.35,5.15,5.33,49656079,0.0,1.0
2024-06-06 00:00:00+00:00,4.91,5.0,4.74,4.95,84453807,4.91,5.0,4.74,4.95,84453807,0.0,1.0
2024-06-07 00:00:00+00:00,4.83,4.96,4.8,4.82,34658602,4.83,4.96,4.8,4.82,34658602,0.0,1.0
2024-06-10 00:00:00+00:00,4.72,4.85,4.67,4.82,38316347,4.72,4.85,4.67,4.82,38316347,0.0,1.0
2024-06-11 00:00:00+00:00,4.46,4.8,4.35,4.79,66199175,4.46,4.8,4.35,4.79,66199175,0.0,1.0
2024-06-12 00:00:00+00:00,4.45,4.625,4.31,4.47,62311432,4.45,4.625,4.31,4.47,62311432,0.0,1.0
2024-06-13 00:00:00+00:00,4.41,4.61,4.4,4.47,27306325,4.41,4.61,4.4,4.47,27306325,0.0,1.0
2024-06-14 00:00:00+00:00,4.33,4.38,4.29,4.36,23556994,4.33,4.38,4.29,4.36,23556994,0.0,1.0
2024-06-17 00:00:00+00:00,4.43,4.48,4.235,4.32,31751380,4.43,4.48,4.235,4.32,31751380,0.0,1.0
2024-06-18 00:00:00+00:00,4.43,4.47,4.32,4.355,28884896,4.43,4.47,4.32,4.355,28884896,0.0,1.0
2024-06-20 00:00:00+00:00,4.33,4.45,4.25,4.37,28737152,4.33,4.45,4.25,4.37,28737152,0.0,1.0
2024-06-21 00:00:00+00:00,4.3,4.3498,4.2402,4.31,22036714,4.3,4.3498,4.2402,4.31,22036714,0.0,1.0
2024-06-24 00:00:00+00:00,4.44,4.53,4.29,4.3,28749721,4.44,4.53,4.29,4.3,28749721,0.0,1.0
2024-06-25 00:00:00+00:00,4.37,4.43,4.32,4.4,23318423,4.37,4.43,4.32,4.4,23318423,0.0,1.0
2024-06-26 00:00:00+00:00,4.64,4.68,4.335,4.38,53248083,4.64,4.68,4.335,4.38,53248083,0.0,1.0
2024-06-27 00:00:00+00:00,4.39,4.58,4.37,4.57,37306080,4.39,4.58,4.37,4.57,37306080,0.0,1.0
