date,Close,High,Low,Open
2026-04-02 13:30:00+00:00,35.885,35.995,35.815,35.995
2026-04-02 13:31:00+00:00,35.84,35.91,35.83,35.86
2026-04-02 13:32:00+00:00,35.755,35.835,35.735,35.835
2026-04-02 13:33:00+00:00,35.79,35.82,35.725,35.75
2026-04-02 13:34:00+00:00,35.8,35.83,35.755,35.79
2026-04-02 13:35:00+00:00,35.765,35.8,35.72,35.795
2026-04-02 13:36:00+00:00,35.765,35.785,35.74,35.76
2026-04-02 13:37:00+00:00,35.805,35.805,35.725,35.765
2026-04-02 13:38:00+00:00,35.68,35.805,35.67,35.79
2026-04-02 13:39:00+00:00,35.645,35.67,35.62,35.66
2026-04-02 13:40:00+00:00,35.705,35.775,35.63,35.64
2026-04-02 13:41:00+00:00,35.82,35.82,35.68,35.705
2026-04-02 13:42:00+00:00,35.765,35.825,35.76,35.815
2026-04-02 13:43:00+00:00,35.8,35.83,35.76,35.76
2026-04-02 13:44:00+00:00,35.795,35.83,35.77,35.805
2026-04-02 13:45:00+00:00,35.805,35.84,35.79,35.8
2026-04-02 13:46:00+00:00,35.9,35.91,35.795,35.795
2026-04-02 13:47:00+00:00,35.925,35.96,35.895,35.9
2026-04-02 13:48:00+00:00,35.89,35.93,35.87,35.92
2026-04-02 13:49:00+00:00,35.935,35.96,35.89,35.89
2026-04-02 13:50:00+00:00,36.02,36.045,35.91,35.935
2026-04-02 13:51:00+00:00,36.04,36.07,36.005,36.02
2026-04-02 13:52:00+00:00,36.05,36.06,36.02,36.04
2026-04-02 13:53:00+00:00,36.075,36.09,36.05,36.05
2026-04-02 13:54:00+00:00,36.09,36.13,36.075,36.075
2026-04-02 13:55:00+00:00,36.125,36.13,36.08,36.085
2026-04-02 13:56:00+00:00,36.1,36.15,36.08,36.12
2026-04-02 13:57:00+00:00,36.06,36.125,36.04,36.115
2026-04-02 13:58:00+00:00,36.09,36.1,36.06,36.06
2026-04-02 13:59:00+00:00,36.17,36.19,36.09,36.09
2026-04-02 14:00:00+00:00,36.11,36.175,36.11,36.175
2026-04-02 14:01:00+00:00,36.1,36.115,36.075,36.115
2026-04-02 14:02:00+00:00,36.085,36.11,36.06,36.095
2026-04-02 14:03:00+00:00,36.11,36.125,36.06,36.085
2026-04-02 14:04:00+00:00,36.095,36.15,36.085,36.11
2026-04-02 14:05:00+00:00,36.055,36.1,36.025,36.095
2026-04-02 14:06:00+00:00,36.09,36.09,36.04,36.05
2026-04-02 14:07:00+00:00,36.085,36.12,36.08,36.085
2026-04-02 14:08:00+00:00,36.14,36.14,36.06,36.085
2026-04-02 14:09:00+00:00,36.115,36.16,36.115,36.14
2026-04-02 14:10:00+00:00,36.095,36.115,36.06,36.115
2026-04-02 14:11:00+00:00,36.075,36.095,36.045,36.095
2026-04-02 14:12:00+00:00,36.07,36.09,36.05,36.07
2026-04-02 14:13:00+00:00,36.055,36.085,36.045,36.065
2026-04-02 14:14:00+00:00,36.08,36.08,36.03,36.055
2026-04-02 14:15:00+00:00,36.07,36.095,36.07,36.085
2026-04-02 14:16:00+00:00,36.035,36.08,36.02,36.07
2026-04-02 14:17:00+00:00,36.08,36.095,36.03,36.035
2026-04-02 14:18:00+00:00,36.045,36.085,36.04,36.075
2026-04-02 14:19:00+00:00,36.025,36.045,36.015,36.045
2026-04-02 14:20:00+00:00,36.085,36.1,36.02,36.025
2026-04-02 14:21:00+00:00,36.105,36.115,36.085,36.085
2026-04-02 14:22:00+00:00,36.13,36.14,36.105,36.11
2026-04-02 14:23:00+00:00,36.12,36.14,36.105,36.13
2026-04-02 14:24:00+00:00,36.145,36.15,36.11,36.125
2026-04-02 14:25:00+00:00,36.13,36.145,36.105,36.145
2026-04-02 14:26:00+00:00,36.095,36.13,36.095,36.13
2026-04-02 14:27:00+00:00,36.085,36.105,36.07,36.095
2026-04-02 14:28:00+00:00,36.095,36.1,36.06,36.09
2026-04-02 14:29:00+00:00,36.1,36.105,36.08,36.095
2026-04-02 14:30:00+00:00,36.11,36.12,36.07,36.1
2026-04-02 14:31:00+00:00,36.13,36.14,36.11,36.11
2026-04-02 14:32:00+00:00,36.165,36.18,36.12,36.135
2026-04-02 14:33:00+00:00,36.26,36.26,36.165,36.165
2026-04-02 14:34:00+00:00,36.25,36.26,36.24,36.255
2026-04-02 14:35:00+00:00,36.37,36.375,36.25,36.25
2026-04-02 14:36:00+00:00,36.605,36.625,36.34,36.365
2026-04-02 14:37:00+00:00,36.8,36.82,36.585,36.6
2026-04-02 14:38:00+00:00,36.585,36.79,36.58,36.79
2026-04-02 14:39:00+00:00,36.625,36.67,36.51,36.58
2026-04-02 14:40:00+00:00,36.475,36.62,36.46,36.62
2026-04-02 14:41:00+00:00,36.46,36.5,36.4,36.48
2026-04-02 14:42:00+00:00,36.485,36.52,36.44,36.455
2026-04-02 14:43:00+00:00,36.485,36.52,36.44,36.48
2026-04-02 14:44:00+00:00,36.55,36.555,36.46,36.485
2026-04-02 14:45:00+00:00,36.51,36.55,36.505,36.545
2026-04-02 14:46:00+00:00,36.475,36.52,36.47,36.5
2026-04-02 14:47:00+00:00,36.505,36.515,36.45,36.47
2026-04-02 14:48:00+00:00,36.475,36.51,36.46,36.5
2026-04-02 14:49:00+00:00,36.475,36.505,36.47,36.48
2026-04-02 14:50:00+00:00,36.475,36.51,36.41,36.475
2026-04-02 14:51:00+00:00,36.42,36.49,36.4,36.48
2026-04-02 14:52:00+00:00,36.445,36.445,36.38,36.425
2026-04-02 14:53:00+00:00,36.44,36.475,36.415,36.45
2026-04-02 14:54:00+00:00,36.475,36.49,36.44,36.44
2026-04-02 14:55:00+00:00,36.52,36.545,36.465,36.47
2026-04-02 14:56:00+00:00,36.525,36.54,36.5,36.525
2026-04-02 14:57:00+00:00,36.585,36.59,36.51,36.525
2026-04-02 14:58:00+00:00,36.575,36.585,36.56,36.585
2026-04-02 14:59:00+00:00,36.485,36.575,36.485,36.575
2026-04-02 15:00:00+00:00,36.37,36.49,36.36,36.485
2026-04-02 15:01:00+00:00,36.385,36.39,36.34,36.36
2026-04-02 15:02:00+00:00,36.37,36.39,36.365,36.38
2026-04-02 15:03:00+00:00,36.395,36.4,36.34,36.375
2026-04-02 15:04:00+00:00,36.41,36.44,36.38,36.4
2026-04-02 15:05:00+00:00,36.405,36.42,36.365,36.41
2026-04-02 15:06:00+00:00,36.38,36.415,36.375,36.405
2026-04-02 15:07:00+00:00,36.375,36.4,36.37,36.38
2026-04-02 15:08:00+00:00,36.37,36.4,36.36,36.38
2026-04-02 15:09:00+00:00,36.4,36.4,36.325,36.365
2026-04-02 15:10:00+00:00,36.44,36.445,36.37,36.395
2026-04-02 15:11:00+00:00,36.455,36.475,36.44,36.44
2026-04-02 15:12:00+00:00,36.47,36.47,36.45,36.455
2026-04-02 15:13:00+00:00,36.465,36.48,36.445,36.465
2026-04-02 15:14:00+00:00,36.45,36.465,36.42,36.465
2026-04-02 15:15:00+00:00,36.435,36.455,36.42,36.45
2026-04-02 15:16:00+00:00,36.445,36.465,36.43,36.435
2026-04-02 15:17:00+00:00,36.445,36.47,36.425,36.445
2026-04-02 15:18:00+00:00,36.425,36.445,36.415,36.435
2026-04-02 15:19:00+00:00,36.43,36.45,36.43,36.43
2026-04-02 15:20:00+00:00,36.385,36.43,36.365,36.43
2026-04-02 15:21:00+00:00,36.4,36.4,36.345,36.385
2026-04-02 15:22:00+00:00,36.38,36.425,36.375,36.395
2026-04-02 15:23:00+00:00,36.425,36.43,36.385,36.385
2026-04-02 15:24:00+00:00,36.455,36.48,36.425,36.43
2026-04-02 15:25:00+00:00,36.45,36.455,36.38,36.455
2026-04-02 15:26:00+00:00,36.46,36.48,36.435,36.45
2026-04-02 15:27:00+00:00,36.445,36.48,36.44,36.46
2026-04-02 15:28:00+00:00,36.44,36.475,36.44,36.455
2026-04-02 15:29:00+00:00,36.435,36.46,36.425,36.445
2026-04-02 15:30:00+00:00,36.435,36.445,36.415,36.435
2026-04-02 15:31:00+00:00,36.475,36.475,36.42,36.44
2026-04-02 15:32:00+00:00,36.49,36.495,36.47,36.475
2026-04-02 15:33:00+00:00,36.475,36.49,36.46,36.49
2026-04-02 15:34:00+00:00,36.495,36.495,36.465,36.475
2026-04-02 15:35:00+00:00,36.48,36.505,36.475,36.495
2026-04-02 15:36:00+00:00,36.525,36.525,36.475,36.475
2026-04-02 15:37:00+00:00,36.515,36.55,36.51,36.525
2026-04-02 15:38:00+00:00,36.505,36.515,36.49,36.515
2026-04-02 15:39:00+00:00,36.485,36.51,36.47,36.5
2026-04-02 15:40:00+00:00,36.45,36.485,36.45,36.485
2026-04-02 15:41:00+00:00,36.39,36.455,36.38,36.45
2026-04-02 15:42:00+00:00,36.375,36.41,36.37,36.39
2026-04-02 15:43:00+00:00,36.505,36.51,36.38,36.38
2026-04-02 15:44:00+00:00,36.535,36.55,36.505,36.505
2026-04-02 15:45:00+00:00,36.52,36.54,36.515,36.535
2026-04-02 15:46:00+00:00,36.515,36.55,36.515,36.525
2026-04-02 15:47:00+00:00,36.495,36.515,36.49,36.515
2026-04-02 15:48:00+00:00,36.415,36.505,36.41,36.5
2026-04-02 15:49:00+00:00,36.415,36.425,36.4,36.415
2026-04-02 15:50:00+00:00,36.385,36.42,36.37,36.415
2026-04-02 15:51:00+00:00,36.375,36.39,36.365,36.39
2026-04-02 15:52:00+00:00,36.435,36.45,36.38,36.38
2026-04-02 15:53:00+00:00,36.425,36.445,36.425,36.44
2026-04-02 15:54:00+00:00,36.445,36.465,36.425,36.425
2026-04-02 15:55:00+00:00,36.475,36.48,36.41,36.445
2026-04-02 15:56:00+00:00,36.455,36.485,36.45,36.475
2026-04-02 15:57:00+00:00,36.445,36.47,36.43,36.455
2026-04-02 15:58:00+00:00,36.455,36.46,36.425,36.445
2026-04-02 15:59:00+00:00,36.445,36.46,36.44,36.45
2026-04-02 16:00:00+00:00,36.45,36.46,36.43,36.445
2026-04-02 16:01:00+00:00,36.485,36.49,36.45,36.45
2026-04-02 16:02:00+00:00,36.465,36.49,36.46,36.48
2026-04-02 16:03:00+00:00,36.45,36.475,36.45,36.465
2026-04-02 16:04:00+00:00,36.39,36.455,36.39,36.45
2026-04-02 16:05:00+00:00,36.42,36.43,36.39,36.395
2026-04-02 16:06:00+00:00,36.39,36.42,36.38,36.42
2026-04-02 16:07:00+00:00,36.395,36.395,36.37,36.385
2026-04-02 16:08:00+00:00,36.375,36.41,36.365,36.395
2026-04-02 16:09:00+00:00,36.415,36.44,36.37,36.37
2026-04-02 16:10:00+00:00,36.405,36.44,36.395,36.415
2026-04-02 16:11:00+00:00,36.38,36.41,36.38,36.405
2026-04-02 16:12:00+00:00,36.4,36.42,36.38,36.385
2026-04-02 16:13:00+00:00,36.435,36.44,36.4,36.4
2026-04-02 16:14:00+00:00,36.43,36.45,36.42,36.425
2026-04-02 16:15:00+00:00,36.395,36.445,36.39,36.43
2026-04-02 16:16:00+00:00,36.415,36.46,36.395,36.395
2026-04-02 16:17:00+00:00,36.395,36.425,36.39,36.415
2026-04-02 16:18:00+00:00,36.395,36.41,36.365,36.395
2026-04-02 16:19:00+00:00,36.37,36.4,36.37,36.395
2026-04-02 16:20:00+00:00,36.365,36.375,36.345,36.375
2026-04-02 16:21:00+00:00,36.385,36.39,36.36,36.365
2026-04-02 16:22:00+00:00,36.395,36.41,36.38,36.385
2026-04-02 16:23:00+00:00,36.365,36.4,36.36,36.39
2026-04-02 16:24:00+00:00,36.37,36.39,36.36,36.365
2026-04-02 16:25:00+00:00,36.355,36.375,36.34,36.375
2026-04-02 16:26:00+00:00,36.365,36.385,36.35,36.35
2026-04-02 16:27:00+00:00,36.38,36.39,36.365,36.365
2026-04-02 16:28:00+00:00,36.4,36.405,36.375,36.385
2026-04-02 16:29:00+00:00,36.38,36.4,36.38,36.395
2026-04-02 16:30:00+00:00,36.39,36.41,36.365,36.38
2026-04-02 16:31:00+00:00,36.425,36.43,36.385,36.39
2026-04-02 16:32:00+00:00,36.465,36.47,36.42,36.425
2026-04-02 16:33:00+00:00,36.465,36.475,36.45,36.46
2026-04-02 16:34:00+00:00,36.495,36.5,36.465,36.465
2026-04-02 16:35:00+00:00,36.47,36.5,36.45,36.49
2026-04-02 16:36:00+00:00,36.455,36.47,36.435,36.47
2026-04-02 16:37:00+00:00,36.445,36.47,36.435,36.455
2026-04-02 16:38:00+00:00,36.445,36.45,36.41,36.45
2026-04-02 16:39:00+00:00,36.445,36.47,36.44,36.445
2026-04-02 16:40:00+00:00,36.495,36.56,36.445,36.445
2026-04-02 16:41:00+00:00,36.48,36.5,36.46,36.495
2026-04-02 16:42:00+00:00,36.495,36.5,36.48,36.48
2026-04-02 16:43:00+00:00,36.495,36.5,36.475,36.5
2026-04-02 16:44:00+00:00,36.49,36.51,36.475,36.495
2026-04-02 16:45:00+00:00,36.505,36.51,36.485,36.495
2026-04-02 16:46:00+00:00,36.505,36.515,36.5,36.505
2026-04-02 16:47:00+00:00,36.485,36.505,36.47,36.505
2026-04-02 16:48:00+00:00,36.46,36.49,36.46,36.485
2026-04-02 16:49:00+00:00,36.48,36.48,36.46,36.465
2026-04-02 16:50:00+00:00,36.485,36.49,36.48,36.48
2026-04-02 16:51:00+00:00,36.485,36.485,36.45,36.485
2026-04-02 16:52:00+00:00,36.48,36.505,36.47,36.485
2026-04-02 16:53:00+00:00,36.485,36.505,36.48,36.485
2026-04-02 16:54:00+00:00,36.455,36.49,36.455,36.485
2026-04-02 16:55:00+00:00,36.415,36.455,36.41,36.455
2026-04-02 16:56:00+00:00,36.425,36.43,36.415,36.415
2026-04-02 16:57:00+00:00,36.43,36.45,36.405,36.42
2026-04-02 16:58:00+00:00,36.425,36.435,36.415,36.43
2026-04-02 16:59:00+00:00,36.37,36.425,36.36,36.425
2026-04-02 17:00:00+00:00,36.325,36.375,36.325,36.37
2026-04-02 17:01:00+00:00,36.325,36.33,36.31,36.325
2026-04-02 17:02:00+00:00,36.335,36.34,36.32,36.325
2026-04-02 17:03:00+00:00,36.4,36.405,36.33,36.335
2026-04-02 17:04:00+00:00,36.41,36.425,36.39,36.4
2026-04-02 17:05:00+00:00,36.405,36.42,36.395,36.41
2026-04-02 17:06:00+00:00,36.405,36.42,36.38,36.405
2026-04-02 17:07:00+00:00,36.425,36.43,36.38,36.41
2026-04-02 17:08:00+00:00,36.395,36.425,36.39,36.425
2026-04-02 17:09:00+00:00,36.405,36.405,36.385,36.395
2026-04-02 17:10:00+00:00,36.39,36.41,36.385,36.405
2026-04-02 17:11:00+00:00,36.365,36.405,36.365,36.39
2026-04-02 17:12:00+00:00,36.375,36.38,36.365,36.365
2026-04-02 17:13:00+00:00,36.405,36.41,36.375,36.375
2026-04-02 17:14:00+00:00,36.425,36.44,36.405,36.405
2026-04-02 17:15:00+00:00,36.445,36.46,36.41,36.425
2026-04-02 17:16:00+00:00,36.43,36.46,36.43,36.445
2026-04-02 17:17:00+00:00,36.425,36.43,36.415,36.43
2026-04-02 17:18:00+00:00,36.395,36.435,36.39,36.425
2026-04-02 17:19:00+00:00,36.415,36.42,36.39,36.395
2026-04-02 17:20:00+00:00,36.415,36.425,36.405,36.42
2026-04-02 17:21:00+00:00,36.425,36.43,36.39,36.415
2026-04-02 17:22:00+00:00,36.465,36.47,36.41,36.42
2026-04-02 17:23:00+00:00,36.47,36.475,36.45,36.465
2026-04-02 17:24:00+00:00,36.47,36.475,36.46,36.465
