date,Close,High,Low,Open
2026-08-28 13:30:00+00:00,85.005,85.165,84.755,85.03
2026-08-28 13:31:00+00:00,85.315,85.46,85.005,85.005
2026-08-28 13:32:00+00:00,85.36,85.36,85.09,85.32
2026-08-28 13:33:00+00:00,85.4,85.405,85.235,85.345
2026-08-28 13:34:00+00:00,85.41,85.45,85.34,85.375
2026-08-28 13:35:00+00:00,85.28,85.425,85.28,85.34
2026-08-28 13:36:00+00:00,85.2,85.295,85.135,85.28
2026-08-28 13:37:00+00:00,85.27,85.305,85.2,85.24
2026-08-28 13:38:00+00:00,85.35,85.38,85.19,85.27
2026-08-28 13:39:00+00:00,85.79,85.88,85.37,85.375
2026-08-28 13:40:00+00:00,85.67,85.895,85.63,85.795
2026-08-28 13:41:00+00:00,85.855,85.855,85.61,85.655
2026-08-28 13:42:00+00:00,85.755,85.88,85.74,85.855
2026-08-28 13:43:00+00:00,85.4,85.755,85.4,85.755
2026-08-28 13:44:00+00:00,85.325,85.395,85.275,85.34
2026-08-28 13:45:00+00:00,85.385,85.395,85.28,85.28
2026-08-28 13:46:00+00:00,85.395,85.575,85.395,85.53
2026-08-28 13:47:00+00:00,85.26,85.545,85.14,85.54
2026-08-28 13:48:00+00:00,85.455,85.465,85.245,85.245
2026-08-28 13:49:00+00:00,85.635,85.64,85.465,85.49
2026-08-28 13:50:00+00:00,85.795,85.82,85.68,85.7
2026-08-28 13:51:00+00:00,85.63,85.78,85.63,85.775
2026-08-28 13:52:00+00:00,85.69,85.72,85.63,85.63
2026-08-28 13:53:00+00:00,85.755,85.83,85.685,85.69
2026-08-28 13:54:00+00:00,85.9,85.925,85.725,85.75
2026-08-28 13:55:00+00:00,85.925,86.0,85.825,85.86
2026-08-28 13:56:00+00:00,85.915,85.935,85.875,85.925
2026-08-28 13:57:00+00:00,85.895,85.965,85.895,85.915
2026-08-28 13:58:00+00:00,85.955,85.965,85.875,85.895
2026-08-28 13:59:00+00:00,85.925,86.075,85.92,85.955
2026-08-28 14:00:00+00:00,85.97,85.97,85.9,85.9
2026-08-28 14:01:00+00:00,85.93,86.005,85.93,85.975
2026-08-28 14:02:00+00:00,85.985,85.99,85.835,85.94
2026-08-28 14:03:00+00:00,85.935,86.01,85.91,85.985
2026-08-28 14:04:00+00:00,86.11,86.125,85.91,85.94
2026-08-28 14:05:00+00:00,85.685,86.115,85.67,86.115
2026-08-28 14:06:00+00:00,85.735,85.75,85.64,85.685
2026-08-28 14:07:00+00:00,85.73,85.745,85.705,85.73
2026-08-28 14:08:00+00:00,85.705,85.77,85.69,85.73
2026-08-28 14:09:00+00:00,85.775,85.855,85.705,85.71
2026-08-28 14:10:00+00:00,85.69,85.8,85.65,85.8
2026-08-28 14:11:00+00:00,85.68,85.725,85.65,85.685
2026-08-28 14:12:00+00:00,85.735,85.735,85.655,85.695
2026-08-28 14:13:00+00:00,85.64,85.735,85.635,85.735
2026-08-28 14:14:00+00:00,85.605,85.655,85.6,85.64
2026-08-28 14:15:00+00:00,85.68,85.745,85.655,85.655
2026-08-28 14:16:00+00:00,85.695,85.7,85.65,85.68
2026-08-28 14:17:00+00:00,85.73,85.735,85.66,85.685
2026-08-28 14:18:00+00:00,85.685,85.73,85.63,85.73
2026-08-28 14:19:00+00:00,85.685,85.705,85.675,85.685
2026-08-28 14:20:00+00:00,85.685,85.7,85.64,85.685
2026-08-28 14:21:00+00:00,85.6,85.69,85.585,85.685
2026-08-28 14:22:00+00:00,85.63,85.64,85.595,85.615
2026-08-28 14:23:00+00:00,85.56,85.65,85.545,85.63
2026-08-28 14:24:00+00:00,85.51,85.56,85.51,85.56
2026-08-28 14:25:00+00:00,85.49,85.525,85.455,85.515
2026-08-28 14:26:00+00:00,85.565,85.57,85.43,85.49
2026-08-28 14:27:00+00:00,85.6,85.635,85.565,85.565
2026-08-28 14:28:00+00:00,85.595,85.6,85.535,85.6
2026-08-28 14:29:00+00:00,85.67,85.67,85.545,85.575
2026-08-28 14:30:00+00:00,85.76,85.76,85.67,85.67
2026-08-28 14:31:00+00:00,85.795,85.91,85.79,85.85
2026-08-28 14:32:00+00:00,85.74,85.855,85.73,85.795
2026-08-28 14:33:00+00:00,85.77,85.795,85.745,85.745
2026-08-28 14:34:00+00:00,85.805,85.915,85.75,85.88
2026-08-28 14:35:00+00:00,85.925,85.925,85.675,85.7
2026-08-28 14:36:00+00:00,86.025,86.05,85.925,85.925
2026-08-28 14:37:00+00:00,85.955,86.035,85.95,86.025
2026-08-28 14:38:00+00:00,85.875,85.97,85.84,85.955
2026-08-28 14:39:00+00:00,85.8,85.875,85.8,85.84
2026-08-28 14:40:00+00:00,85.8,85.815,85.785,85.815
2026-08-28 14:41:00+00:00,85.82,85.82,85.7,85.7
2026-08-28 14:42:00+00:00,85.78,85.88,85.765,85.86
2026-08-28 14:43:00+00:00,85.72,85.79,85.715,85.78
2026-08-28 14:44:00+00:00,85.785,85.805,85.735,85.74
2026-08-28 14:45:00+00:00,85.795,85.82,85.665,85.665
2026-08-28 14:46:00+00:00,85.7,85.76,85.685,85.685
2026-08-28 14:47:00+00:00,85.76,85.76,85.69,85.69
2026-08-28 14:48:00+00:00,85.8,85.81,85.67,85.675
2026-08-28 14:49:00+00:00,85.835,85.87,85.775,85.8
2026-08-28 14:50:00+00:00,85.945,85.945,85.825,85.835
2026-08-28 14:51:00+00:00,85.955,85.975,85.935,85.95
2026-08-28 14:52:00+00:00,85.945,85.98,85.94,85.975
2026-08-28 14:53:00+00:00,85.98,86.01,85.77,85.77
2026-08-28 14:54:00+00:00,85.965,85.99,85.925,85.98
2026-08-28 14:55:00+00:00,86.09,86.09,85.97,85.97
2026-08-28 14:56:00+00:00,86.16,86.2,86.06,86.09
2026-08-28 14:57:00+00:00,86.205,86.23,86.145,86.16
2026-08-28 14:58:00+00:00,86.21,86.215,86.175,86.2
2026-08-28 14:59:00+00:00,86.25,86.25,86.165,86.21
2026-08-28 15:00:00+00:00,86.34,86.385,86.27,86.27
2026-08-28 15:01:00+00:00,86.22,86.365,86.215,86.34
2026-08-28 15:02:00+00:00,86.31,86.315,86.19,86.215
2026-08-28 15:03:00+00:00,86.32,86.325,86.275,86.295
2026-08-28 15:04:00+00:00,86.275,86.32,86.255,86.32
2026-08-28 15:05:00+00:00,86.245,86.32,86.24,86.27
2026-08-28 15:06:00+00:00,86.24,86.27,86.19,86.245
2026-08-28 15:07:00+00:00,86.31,86.315,86.225,86.235
2026-08-28 15:08:00+00:00,86.315,86.36,86.295,86.31
2026-08-28 15:09:00+00:00,86.315,86.36,86.305,86.34
2026-08-28 15:10:00+00:00,86.325,86.35,86.305,86.315
2026-08-28 15:11:00+00:00,86.3,86.34,86.275,86.325
