Date,Close,High,Low,Open,Volume
2024-04-01,2.2000000171829015e-05,3.099999958067201e-05,1.8999999156221747e-05,3.099999958067201e-05,22494089994
2024-05-01,2.499999936844688e-05,2.9000000722589903e-05,2.099999983329326e-05,2.2000000171829015e-05,22122948177
2024-06-01,1.700000029813964e-05,2.5999999706982635e-05,1.5999999959603883e-05,2.499999936844688e-05,12416852253
2024-07-01,1.5999999959603883e-05,1.9999999494757503e-05,1.2999999853491317e-05,1.700000029813964e-05,10929076104
2024-08-01,1.4000000192027073e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.5999999959603883e-05,7652966685
2024-09-01,1.8000000636675395e-05,2.2000000171829015e-05,1.2000000424450263e-05,1.4000000192027073e-05,8862257290
2024-10-01,1.8000000636675395e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.8000000636675395e-05,12497726856
2024-11-01,2.700000004551839e-05,2.9999999242136255e-05,1.5999999959603883e-05,1.8000000636675395e-05,50706078839
2024-12-01,2.099999983329326e-05,3.300000025774352e-05,1.8999999156221747e-05,2.700000004551839e-05,51447424279
2025-01-01,1.8999999156221747e-05,2.499999936844688e-05,1.700000029813964e-05,2.099999983329326e-05,16770425402
2025-02-01,1.4000000192027073e-05,1.8999999156221747e-05,1.2000000424450263e-05,1.8999999156221747e-05,9783179766
2025-03-01,1.2000000424450263e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.4000000192027073e-05,7621062430
2025-04-01,1.2999999853491317e-05,1.4999999621068127e-05,9.999999747378752e-06,1.2000000424450263e-05,6283040955
2025-05-01,1.2999999853491317e-05,1.8000000636675395e-05,1.2000000424450263e-05,1.2999999853491317e-05,9219138731
2025-06-01,1.1000000085914508e-05,1.4000000192027073e-05,9.999999747378752e-06,1.2999999853491317e-05,4500520250
2025-07-01,1.2000000424450263e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.1000000085914508e-05,9129895301
2025-08-01,1.2000000424450263e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2000000424450263e-05,7199638328
2025-09-01,1.2000000424450263e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.2000000424450263e-05,6758507489
2025-10-01,9.999999747378752e-06,1.2999999853491317e-05,7.000000096013537e-06,1.2000000424450263e-05,6870035176
2025-11-01,7.999999979801942e-06,9.999999747378752e-06,7.999999979801942e-06,9.999999747378752e-06,4809424348
2025-12-01,7.000000096013537e-06,9.000000318337698e-06,7.000000096013537e-06,7.999999979801942e-06,3511252404
2026-01-01,7.000000096013537e-06,9.999999747378752e-06,6.000000212225132e-06,7.000000096013537e-06,4224837855
2026-02-01,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,7.000000096013537e-06,4082936705
2026-03-01,5.9774029068648815e-06,6.171048426040215e-06,4.999999873689376e-06,6.000000212225132e-06,2729432528
