Date,Close,High,Low,Open,Volume
2024-03-18,2.8000000384054147e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.499999936844688e-05,6419375640
2024-03-25,3.099999958067201e-05,3.300000025774352e-05,2.700000004551839e-05,2.8000000384054147e-05,8977073656
2024-04-01,2.8000000384054147e-05,3.099999958067201e-05,2.5999999706982635e-05,3.099999958067201e-05,4951388719
2024-04-08,2.300000051036477e-05,2.9000000722589903e-05,1.8999999156221747e-05,2.8000000384054147e-05,6240146005
2024-04-15,2.5999999706982635e-05,2.8000000384054147e-05,2.099999983329326e-05,2.300000051036477e-05,5612730956
2024-04-22,2.4000000848900527e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.5999999706982635e-05,4422247764
2024-04-29,2.499999936844688e-05,2.5999999706982635e-05,2.099999983329326e-05,2.4000000848900527e-05,4740790876
2024-05-06,2.2000000171829015e-05,2.5999999706982635e-05,2.2000000171829015e-05,2.499999936844688e-05,2553844286
2024-05-13,2.4000000848900527e-05,2.5999999706982635e-05,2.2000000171829015e-05,2.2000000171829015e-05,4959140264
2024-05-20,2.4000000848900527e-05,2.700000004551839e-05,2.4000000848900527e-05,2.4000000848900527e-05,4887437036
2024-05-27,2.499999936844688e-05,2.9000000722589903e-05,2.4000000848900527e-05,2.4000000848900527e-05,6975707894
2024-06-03,2.300000051036477e-05,2.5999999706982635e-05,2.2000000171829015e-05,2.499999936844688e-05,4297267245
2024-06-10,2.099999983329326e-05,2.4000000848900527e-05,1.9999999494757503e-05,2.300000051036477e-05,3471684308
2024-06-17,1.8000000636675395e-05,2.099999983329326e-05,1.700000029813964e-05,2.099999983329326e-05,2260295430
2024-06-24,1.700000029813964e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.8000000636675395e-05,1661209641
2024-07-01,1.5999999959603883e-05,1.8000000636675395e-05,1.2999999853491317e-05,1.700000029813964e-05,2300904019
2024-07-08,1.8000000636675395e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.5999999959603883e-05,1989149730
2024-07-15,1.8000000636675395e-05,1.9999999494757503e-05,1.700000029813964e-05,1.8000000636675395e-05,4234811151
2024-07-22,1.700000029813964e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.8000000636675395e-05,1794605270
2024-07-29,1.2999999853491317e-05,1.700000029813964e-05,1.2999999853491317e-05,1.700000029813964e-05,1638976766
2024-08-05,1.2999999853491317e-05,1.4999999621068127e-05,1.1000000085914508e-05,1.2999999853491317e-05,2668818177
2024-08-12,1.2999999853491317e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.2999999853491317e-05,1140797742
2024-08-19,1.4999999621068127e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.2999999853491317e-05,1590385415
2024-08-26,1.2999999853491317e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.4999999621068127e-05,1377042666
2024-09-02,1.2999999853491317e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2999999853491317e-05,1049838107
2024-09-09,1.2999999853491317e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.2999999853491317e-05,952369416
2024-09-16,1.4999999621068127e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.2999999853491317e-05,1271014594
2024-09-23,1.8999999156221747e-05,2.2000000171829015e-05,1.4000000192027073e-05,1.4999999621068127e-05,4854535707
2024-09-30,1.8000000636675395e-05,1.8999999156221747e-05,1.5999999959603883e-05,1.8999999156221747e-05,3606536269
2024-10-07,1.8000000636675395e-05,1.8999999156221747e-05,1.5999999959603883e-05,1.8000000636675395e-05,2394036612
2024-10-14,1.8999999156221747e-05,1.8999999156221747e-05,1.700000029813964e-05,1.8000000636675395e-05,3140706967
2024-10-21,1.700000029813964e-05,1.8999999156221747e-05,1.5999999959603883e-05,1.8999999156221747e-05,1880918327
2024-10-28,1.700000029813964e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.700000029813964e-05,2918222467
2024-11-04,2.5999999706982635e-05,2.8000000384054147e-05,1.5999999959603883e-05,1.700000029813964e-05,9952494028
2024-11-11,2.499999936844688e-05,2.9999999242136255e-05,2.300000051036477e-05,2.5999999706982635e-05,20145817177
2024-11-18,2.5999999706982635e-05,2.8000000384054147e-05,2.300000051036477e-05,2.499999936844688e-05,12806387352
2024-11-25,3.099999958067201e-05,3.300000025774352e-05,2.300000051036477e-05,2.5999999706982635e-05,14551777554
2024-12-02,3.199999991920777e-05,3.300000025774352e-05,2.700000004551839e-05,3.099999958067201e-05,20888182259
2024-12-09,2.8000000384054147e-05,3.199999991920777e-05,2.4000000848900527e-05,3.199999991920777e-05,10547367010
2024-12-16,2.099999983329326e-05,2.8000000384054147e-05,1.8999999156221747e-05,2.8000000384054147e-05,7850413147
2024-12-23,2.099999983329326e-05,2.4000000848900527e-05,2.099999983329326e-05,2.099999983329326e-05,3614105042
2024-12-30,2.4000000848900527e-05,2.499999936844688e-05,2.099999983329326e-05,2.099999983329326e-05,3437133615
2025-01-06,2.2000000171829015e-05,2.499999936844688e-05,1.9999999494757503e-05,2.4000000848900527e-05,3686972304
2025-01-13,1.9999999494757503e-05,2.499999936844688e-05,1.9999999494757503e-05,2.2000000171829015e-05,5304927250
2025-01-20,1.8999999156221747e-05,2.2000000171829015e-05,1.8999999156221747e-05,1.9999999494757503e-05,3429721750
2025-01-27,1.4999999621068127e-05,1.9999999494757503e-05,1.4999999621068127e-05,1.8999999156221747e-05,2873792542
2025-02-03,1.5999999959603883e-05,1.700000029813964e-05,1.2000000424450263e-05,1.4999999621068127e-05,3814941015
2025-02-10,1.5999999959603883e-05,1.700000029813964e-05,1.4999999621068127e-05,1.5999999959603883e-05,1920148930
2025-02-17,1.4999999621068127e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.5999999959603883e-05,1338583160
2025-02-24,1.4999999621068127e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.4999999621068127e-05,2235839853
2025-03-03,1.2000000424450263e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.4999999621068127e-05,2043642783
2025-03-10,1.2999999853491317e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.2000000424450263e-05,1882079852
2025-03-17,1.2999999853491317e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2999999853491317e-05,1077044078
2025-03-24,1.2000000424450263e-05,1.5999999959603883e-05,1.2000000424450263e-05,1.2999999853491317e-05,1854077770
2025-03-31,1.1000000085914508e-05,1.2999999853491317e-05,1.1000000085914508e-05,1.2000000424450263e-05,1575210090
2025-04-07,1.2000000424450263e-05,1.2999999853491317e-05,9.999999747378752e-06,1.1000000085914508e-05,1807282395
2025-04-14,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,905075304
2025-04-21,1.2999999853491317e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.2000000424450263e-05,1610817083
2025-04-28,1.2999999853491317e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.2999999853491317e-05,1134134297
