Date,AdjClose,Close,High,Low,Open,Volume
1993-01-01,24.11326026916504,43.9375,43.96875,43.75,43.96875,1003200
1993-02-01,24.37051010131836,44.40625,45.125,42.8125,43.96875,5417600
1993-03-01,24.916399002075195,45.1875,45.84375,44.21875,44.5625,3019200
1993-04-01,24.278831481933594,44.03125,45.25,43.28125,45.25,2697200
1993-05-01,24.933624267578125,45.21875,45.65625,43.84375,44.09375,1808000
1993-06-01,25.02356719970703,45.0625,45.8125,44.21875,45.375,3438000
1993-07-01,24.902088165283203,44.84375,45.21875,44.15625,45.125,6117600
1993-08-01,25.856548309326172,46.5625,46.5625,44.84375,44.90625,5440100
1993-09-01,25.66839599609375,45.9375,46.59375,44.8125,46.40625,4369900
1993-10-01,26.17479133605957,46.84375,47.15625,45.71875,45.875,6972900
1993-11-01,25.89539909362793,46.34375,47.0,45.53125,46.78125,5351100
1993-12-01,26.21331214904785,46.59375,47.15625,46.375,46.59375,6128000
1994-01-01,27.127521514892578,48.21875,48.3125,46.40625,46.59375,6837100
1994-02-01,26.33640480041504,46.8125,48.28125,46.5625,48.15625,10974400
1994-03-01,25.23285675048828,44.59375,47.3125,43.53125,46.8125,14705500
1994-04-01,25.51577377319336,45.09375,45.359375,43.34375,43.34375,11429000
1994-05-01,25.92247772216797,45.8125,45.9375,44.171875,45.09375,8545100
1994-06-01,25.328487396240234,44.46875,46.5625,44.0,45.703125,10352700
1994-07-01,26.14727020263672,45.90625,46.046875,44.375,44.6875,5452100
1994-08-01,27.14401626586914,47.65625,47.984375,45.65625,45.9375,7945800
1994-09-01,26.458494186401367,46.171875,47.71875,45.734375,47.5,6309300
1994-10-01,27.210603713989258,47.484375,47.703125,45.0,46.203125,5437600
1994-11-01,26.127199172973633,45.59375,47.328125,44.609375,47.28125,4807300
1994-12-01,26.317474365234375,45.5625,46.40625,44.6875,45.640625,8568500
1995-01-01,27.201934814453125,47.09375,47.234375,45.6875,45.703125,2768000
1995-02-01,28.31202507019043,49.015625,49.15625,47.0,47.15625,5954800
1995-03-01,29.100473403930664,50.109375,50.890625,48.21875,48.96875,4538000
1995-04-01,29.962495803833008,51.59375,51.671875,50.0625,50.09375,4395200
1995-05-01,31.15121078491211,53.640625,53.640625,51.390625,51.546875,6986200
1995-06-01,31.781387329101562,54.40625,55.15625,52.75,53.40625,5790900
1995-07-01,32.80363464355469,56.15625,56.703125,54.203125,54.46875,5508200
1995-08-01,32.94968032836914,56.40625,56.796875,55.421875,56.234375,8100100
1995-09-01,34.345951080322266,58.484375,58.90625,56.34375,56.390625,7431600
1995-10-01,34.24503707885742,58.3125,59.1875,57.265625,58.484375,8944800
1995-11-01,35.768253326416016,60.90625,61.203125,58.234375,58.28125,8841700
1995-12-01,36.33099365234375,61.484375,62.796875,60.578125,60.984375,9816800
1996-01-01,37.62358856201172,63.671875,63.6875,59.640625,61.40625,10661800
1996-02-01,37.743614196777344,63.875,66.6875,63.4375,63.609375,14850400
1996-03-01,38.393497467041016,64.6875,65.96875,62.0,64.640625,19022700
1996-04-01,38.8108024597168,65.390625,65.8125,62.125,65.0,14999300
1996-05-01,39.69182586669922,66.875,68.4375,63.078125,65.375,17453200
1996-06-01,40.04196548461914,67.109375,68.5,66.15625,66.890625,16871800
1996-07-01,38.24265670776367,64.09375,67.703125,60.375,67.28125,28811500
1996-08-01,38.979164123535156,65.328125,67.34375,64.0625,64.15625,15593100
1996-09-01,41.15704345703125,68.625,69.25,64.375,64.46875,17216100
1996-10-01,42.487693786621094,70.84375,71.625,68.4375,68.703125,14791800
1996-11-01,45.589439392089844,76.015625,76.6875,70.265625,70.984375,24089700
1996-12-01,44.50455093383789,73.84375,76.578125,71.875,75.921875,34952800
1997-01-01,47.25432205200195,78.40625,79.6875,72.75,74.375,43623700
1997-02-01,47.706302642822266,79.15625,82.0,77.125,78.71875,30028800
1997-03-01,45.60138702392578,75.375,81.796875,75.25,78.75,37514300
1997-04-01,48.45619583129883,80.09375,80.6875,73.3125,75.25,57679300
1997-05-01,51.51897048950195,85.15625,85.5625,79.3125,80.21875,37473400
1997-06-01,53.63652420043945,88.3125,90.5,84.078125,85.34375,47332500
1997-07-01,57.88794708251953,95.3125,96.03125,88.390625,88.5,65359700
1997-08-01,54.88922882080078,90.375,96.625,89.34375,95.5,99046800
1997-09-01,57.52884292602539,94.375,96.375,90.25,90.6875,78642200
1997-10-01,56.119171142578125,92.0625,98.5,84.375,95.25,137440500
1997-11-01,58.29079055786133,95.625,96.8125,90.09375,93.1875,93157400
1997-12-01,59.40251159667969,97.0625,99.0,92.375,96.21875,79162300
1998-01-01,60.16748046875,98.3125,99.5625,90.90625,97.3125,104582300
1998-02-01,64.3367691040039,105.125,105.53125,99.71875,99.90625,69733700
1998-03-01,67.47537994384766,109.9375,111.53125,103.15625,105.25,87316900
1998-04-01,68.33849334716797,111.34375,113.4375,107.625,110.3125,118629400
1998-05-01,66.91912078857422,109.03125,113.3125,107.578125,111.75,116264800
