Date,Close,High,Low,Open,Volume
2021-03-24,16400.0,16475.0,15225.0,15700.0,31820
2021-03-25,15700.0,17800.0,15550.0,16575.0,46506
2021-03-26,14725.0,16175.0,14475.0,15250.0,40123
2021-03-29,15275.0,15925.0,15025.0,15275.0,27880
2021-03-30,14275.0,15525.0,14250.0,15275.0,24120
2021-03-31,14125.0,14550.0,13700.0,14050.0,24503
2021-04-01,13475.0,13950.0,13300.0,13825.0,24388
2021-04-05,12850.0,13175.0,12750.0,12825.0,21974
2021-04-06,13000.0,13075.0,12600.0,12900.0,14952
2021-04-07,12475.0,13000.0,12375.0,12950.0,19582
2021-04-08,12150.0,12350.0,11975.0,12175.0,17745
2021-04-09,12125.0,12425.0,11825.0,12325.0,15285
2021-04-12,11925.0,12625.0,11850.0,12250.0,18533
2021-04-13,11725.0,12050.0,11575.0,11875.0,16363
2021-04-14,12100.0,12175.0,11650.0,11800.0,19763
2021-04-15,11525.0,11750.0,11425.0,11675.0,15505
2021-04-16,11200.0,11625.0,11100.0,11500.0,17001
2021-04-19,11850.0,12325.0,11300.0,11375.0,33296
2021-04-20,12200.0,12850.0,11925.0,12075.0,38215
2021-04-21,11275.0,12575.0,11175.0,12350.0,25649
2021-04-22,12325.0,12625.0,11125.0,11200.0,51387
2021-04-23,11600.0,12225.0,11225.0,12125.0,28548
2021-04-26,11425.0,11700.0,11350.0,11425.0,18070
2021-04-27,11125.0,11625.0,11025.0,11375.0,20567
2021-04-28,11050.0,11250.0,10875.0,11050.0,24203
2021-04-29,10925.0,11600.0,10675.0,10700.0,37790
2021-04-30,11575.0,11750.0,11050.0,11250.0,37548
2021-05-03,10975.0,11350.0,10900.0,11175.0,26988
2021-05-04,11600.0,12500.0,11275.0,11400.0,56048
2021-05-05,11175.0,11700.0,10850.0,11300.0,3485
2021-05-06,11050.0,11875.0,11000.0,11200.0,41005
2021-05-07,10150.0,11100.0,10050.0,11050.0,41760
2021-05-10,10800.0,10800.0,9825.0,10075.0,38309
2021-05-11,11950.0,12375.0,11175.0,11725.0,85149
2021-05-12,15150.0,15775.0,12600.0,12675.0,102147
2021-05-13,12950.0,13850.0,12475.0,13850.0,75046
2021-05-14,10625.0,11950.0,10525.0,11950.0,49731
2021-05-17,11175.0,11825.0,10675.0,10950.0,50550
2021-05-18,11375.0,11475.0,10575.0,10950.0,39944
2021-05-19,12225.0,13900.0,12075.0,12575.0,97444
2021-05-20,11225.0,11975.0,11025.0,11700.0,36589
