date,Close,High,Low,Open
2026-08-28 13:30:00+00:00,18.325,18.37,18.325,18.37
2026-08-28 13:31:00+00:00,18.325,18.35,18.305,18.345
2026-08-28 13:32:00+00:00,18.38,18.38,18.315,18.325
2026-08-28 13:33:00+00:00,18.385,18.395,18.375,18.38
2026-08-28 13:34:00+00:00,18.37,18.385,18.36,18.38
2026-08-28 13:35:00+00:00,18.38,18.39,18.37,18.37
2026-08-28 13:36:00+00:00,18.44,18.445,18.37,18.385
2026-08-28 13:37:00+00:00,18.495,18.5,18.425,18.445
2026-08-28 13:38:00+00:00,18.46,18.495,18.455,18.495
2026-08-28 13:39:00+00:00,18.47,18.48,18.445,18.46
2026-08-28 13:40:00+00:00,18.465,18.47,18.455,18.47
2026-08-28 13:41:00+00:00,18.455,18.475,18.455,18.465
2026-08-28 13:42:00+00:00,18.485,18.49,18.445,18.455
2026-08-28 13:43:00+00:00,18.515,18.52,18.475,18.485
2026-08-28 13:44:00+00:00,18.54,18.58,18.515,18.515
2026-08-28 13:45:00+00:00,18.54,18.565,18.53,18.54
2026-08-28 13:46:00+00:00,18.515,18.54,18.515,18.54
2026-08-28 13:47:00+00:00,18.505,18.525,18.505,18.52
2026-08-28 13:48:00+00:00,18.515,18.525,18.475,18.505
2026-08-28 13:49:00+00:00,18.53,18.555,18.515,18.52
2026-08-28 13:50:00+00:00,18.575,18.575,18.525,18.53
2026-08-28 13:51:00+00:00,18.565,18.595,18.565,18.575
2026-08-28 13:52:00+00:00,18.555,18.565,18.545,18.565
2026-08-28 13:53:00+00:00,18.525,18.555,18.52,18.555
2026-08-28 13:54:00+00:00,18.525,18.54,18.51,18.525
2026-08-28 13:55:00+00:00,18.535,18.54,18.52,18.53
2026-08-28 13:56:00+00:00,18.515,18.535,18.51,18.535
2026-08-28 13:57:00+00:00,18.51,18.52,18.5,18.515
2026-08-28 13:58:00+00:00,18.51,18.52,18.485,18.51
2026-08-28 13:59:00+00:00,18.535,18.535,18.51,18.51
2026-08-28 14:00:00+00:00,18.465,18.535,18.455,18.51
2026-08-28 14:01:00+00:00,18.475,18.49,18.465,18.465
2026-08-28 14:02:00+00:00,18.475,18.515,18.46,18.475
2026-08-28 14:03:00+00:00,18.525,18.525,18.45,18.46
2026-08-28 14:04:00+00:00,18.555,18.575,18.525,18.525
2026-08-28 14:05:00+00:00,18.6,18.605,18.55,18.555
2026-08-28 14:06:00+00:00,18.61,18.645,18.59,18.605
2026-08-28 14:07:00+00:00,18.61,18.645,18.595,18.615
2026-08-28 14:08:00+00:00,18.575,18.61,18.57,18.61
2026-08-28 14:09:00+00:00,18.56,18.58,18.535,18.58
2026-08-28 14:10:00+00:00,18.585,18.585,18.55,18.565
2026-08-28 14:11:00+00:00,18.565,18.6,18.56,18.585
2026-08-28 14:12:00+00:00,18.555,18.575,18.535,18.565
2026-08-28 14:13:00+00:00,18.565,18.585,18.555,18.555
2026-08-28 14:14:00+00:00,18.545,18.575,18.525,18.565
2026-08-28 14:15:00+00:00,18.475,18.55,18.47,18.545
2026-08-28 14:16:00+00:00,18.435,18.48,18.425,18.475
2026-08-28 14:17:00+00:00,18.415,18.45,18.405,18.435
2026-08-28 14:18:00+00:00,18.385,18.42,18.38,18.415
2026-08-28 14:19:00+00:00,18.395,18.395,18.365,18.385
2026-08-28 14:20:00+00:00,18.385,18.405,18.375,18.395
2026-08-28 14:21:00+00:00,18.345,18.385,18.345,18.385
2026-08-28 14:22:00+00:00,18.315,18.35,18.3,18.345
2026-08-28 14:23:00+00:00,18.355,18.355,18.315,18.315
2026-08-28 14:24:00+00:00,18.415,18.425,18.35,18.355
2026-08-28 14:25:00+00:00,18.435,18.435,18.405,18.415
2026-08-28 14:26:00+00:00,18.405,18.45,18.405,18.435
2026-08-28 14:27:00+00:00,18.435,18.445,18.405,18.41
2026-08-28 14:28:00+00:00,18.425,18.45,18.415,18.435
2026-08-28 14:29:00+00:00,18.415,18.445,18.4,18.425
2026-08-28 14:30:00+00:00,18.395,18.465,18.39,18.415
2026-08-28 14:31:00+00:00,18.405,18.415,18.355,18.395
2026-08-28 14:32:00+00:00,18.395,18.415,18.385,18.405
2026-08-28 14:33:00+00:00,18.365,18.4,18.345,18.395
2026-08-28 14:34:00+00:00,18.365,18.375,18.345,18.365
