Date,Close,High,Low,Open,Volume
2016-03-21,29162500.0,32000000.0,26562500.0,29400000.0,95
2016-03-28,22775000.0,29537500.0,22637500.0,28537500.0,114
2016-04-04,26150000.0,28662500.0,22462500.0,22687500.0,132
2016-04-11,21800000.0,28162500.0,21762500.0,25287500.0,146
2016-04-18,19387500.0,22362500.0,18375000.0,22325000.0,168
2016-04-25,21275000.0,23125000.0,17237500.0,19987500.0,183
2016-05-02,19087500.0,21912500.0,18362500.0,20475000.0,173
2016-05-09,18287500.0,18812500.0,16000000.0,18662500.0,167
2016-05-16,16875000.0,20000000.0,16187500.0,18025000.0,216
2016-05-23,13562500.0,17087500.0,13550000.0,16825000.0,142
2016-05-30,12487500.0,14325000.0,12325000.0,13187500.0,145
2016-06-06,15112500.0,15262500.0,11687500.0,12350000.0,172
2016-06-13,17400000.0,21400000.0,15725000.0,16500000.0,320
2016-06-20,18687500.0,19425000.0,12825000.0,15112500.0,291
2016-06-27,11062500.0,20850000.0,10937500.0,18662500.0,303
2016-07-04,9150000.0,12287500.0,9012500.0,11462500.0,192
2016-07-11,8362500.0,9200000.0,8150000.0,8887500.0,199
2016-07-18,7625000.0,8512500.0,7450000.0,8425000.0,187
2016-07-25,6337500.0,8107500.0,6225000.0,7512500.0,463
2016-08-01,5507500.0,6950000.0,5367500.0,6222500.0,614
2016-08-08,5175000.0,5532500.0,4887500.0,5360000.0,523
2016-08-15,4937500.0,5600000.0,4900000.0,5065000.0,482
2016-08-22,5207500.0,5552500.0,4812500.0,5005000.0,700
2016-08-29,4567500.0,5217500.0,4560000.0,5172500.0,553
2016-09-05,5605000.0,5625000.0,4190000.0,4487500.0,589
2016-09-12,5520000.0,6525000.0,4737500.0,5730000.0,1225
2016-09-19,4122500.0,5447500.0,4020000.0,5142500.0,654
2016-09-26,4162500.0,4792500.0,3917500.0,4435000.0,885
2016-10-03,3972500.0,4322500.0,3882500.0,4257500.0,695
2016-10-10,4395000.0,4792500.0,3732500.0,3875000.0,873
2016-10-17,3557500.0,4470000.0,3545000.0,4340000.0,597
2016-10-24,3970000.0,4100000.0,3275000.0,3395000.0,694
2016-10-31,5097500.0,5210000.0,3905000.0,3922500.0,1163
2016-11-07,3385000.0,4317500.0,3130000.0,4225000.0,1364
2016-11-14,2880000.0,3605000.0,2850000.0,3425000.0,652
2016-11-21,2642500.0,2815000.0,2602500.0,2810000.0,321
2016-11-28,2860000.0,2955000.0,2557500.0,2692500.0,623
2016-12-05,2285000.0,2685000.0,2195000.0,2657500.0,697
2016-12-12,2212500.0,2435000.0,2187500.0,2282500.0,626
2016-12-19,1957500.0,2165000.0,1895000.0,2162500.0,411
2016-12-26,2187500.0,2230000.0,1875000.0,1957500.0,451
2017-01-02,1627500.0,2035000.0,1557500.0,2007500.0,511
2017-01-09,1531500.0,1681500.0,1490000.0,1627500.0,1191
