date,Close,High,Low,Open,Volume,Adjclose,Adjhigh,Adjlow,Adjopen,Adjvolume,Divcash,Splitfactor
2024-04-01 00:00:00+00:00,7.76,7.99,7.65,7.8,15890600,7.76,7.99,7.65,7.8,15890600,0.0,1.0
2024-04-02 00:00:00+00:00,7.59,7.6,7.305,7.5,15674674,7.59,7.6,7.305,7.5,15674674,0.0,1.0
2024-04-03 00:00:00+00:00,7.43,7.45,7.27,7.36,11898708,7.43,7.45,7.27,7.36,11898708,0.0,1.0
2024-04-04 00:00:00+00:00,7.42,7.69,7.42,7.51,15158978,7.42,7.69,7.42,7.51,15158978,0.0,1.0
2024-04-05 00:00:00+00:00,7.39,7.7,7.32,7.36,15480324,7.39,7.7,7.32,7.36,15480324,0.0,1.0
2024-04-08 00:00:00+00:00,7.38,7.43,7.18,7.25,11378660,7.38,7.43,7.18,7.25,11378660,0.0,1.0
2024-04-09 00:00:00+00:00,8.07,8.11,7.54,7.57,22321732,8.07,8.11,7.54,7.57,22321732,0.0,1.0
2024-04-10 00:00:00+00:00,8.15,8.19,7.93,8.01,12692444,8.15,8.19,7.93,8.01,12692444,0.0,1.0
2024-04-11 00:00:00+00:00,8.27,8.295,8.07,8.14,7797811,8.27,8.295,8.07,8.14,7797811,0.0,1.0
2024-04-12 00:00:00+00:00,7.46,7.85,7.4,7.83,16771366,7.46,7.85,7.4,7.83,16771366,0.0,1.0
2024-04-15 00:00:00+00:00,7.2,7.51,7.07,7.51,12909430,7.2,7.51,7.07,7.51,12909430,0.0,1.0
2024-04-16 00:00:00+00:00,7.15,7.27,6.99,7.0,12539487,7.15,7.27,6.99,7.0,12539487,0.0,1.0
2024-04-17 00:00:00+00:00,7.42,7.59,7.21,7.42,16418160,7.42,7.59,7.21,7.42,16418160,0.0,1.0
2024-04-18 00:00:00+00:00,7.17,7.39,7.0,7.37,15563086,7.17,7.39,7.0,7.37,15563086,0.0,1.0
2024-04-19 00:00:00+00:00,6.93,7.11,6.86,6.99,11312132,6.93,7.11,6.86,6.99,11312132,0.0,1.0
2024-04-22 00:00:00+00:00,6.98,7.06,6.5505,6.71,15120107,6.98,7.06,6.5505,6.71,15120107,0.0,1.0
2024-04-23 00:00:00+00:00,7.18,7.2,6.92,6.98,11969477,7.18,7.2,6.92,6.98,11969477,0.0,1.0
2024-04-24 00:00:00+00:00,7.08,7.39,7.04,7.3,10554455,7.08,7.39,7.04,7.3,10554455,0.0,1.0
2024-04-25 00:00:00+00:00,7.08,7.11,6.945,6.99,6048876,7.08,7.11,6.945,6.99,6048876,0.0,1.0
2024-04-26 00:00:00+00:00,7.84,7.98,7.65,7.69,19376531,7.84,7.98,7.65,7.69,19376531,0.0,1.0
2024-04-29 00:00:00+00:00,8.1,8.105,7.835,7.92,14267543,8.1,8.105,7.835,7.92,14267543,0.0,1.0
2024-04-30 00:00:00+00:00,8.13,8.15,7.92,7.98,9043878,8.13,8.15,7.92,7.98,9043878,0.0,1.0
2024-05-01 00:00:00+00:00,8.12,8.3,7.985,8.12,14006992,8.12,8.3,7.985,8.12,14006992,0.0,1.0
2024-05-02 00:00:00+00:00,9.4,9.53,8.58,8.74,28740460,9.4,9.53,8.58,8.74,28740460,0.0,1.0
2024-05-03 00:00:00+00:00,9.06,9.2971,8.93,9.12,16610912,9.06,9.2971,8.93,9.12,16610912,0.0,1.0
2024-05-06 00:00:00+00:00,9.03,9.1473,8.88,8.96,11830527,9.03,9.1473,8.88,8.96,11830527,0.0,1.0
2024-05-07 00:00:00+00:00,8.43,8.785,8.4,8.76,13501542,8.43,8.785,8.4,8.76,13501542,0.0,1.0
2024-05-08 00:00:00+00:00,7.89,8.03,7.67,8.01,21771501,7.89,8.03,7.67,8.01,21771501,0.0,1.0
2024-05-09 00:00:00+00:00,8.16,8.34,8.04,8.16,10077523,8.16,8.34,8.04,8.16,10077523,0.0,1.0
2024-05-10 00:00:00+00:00,7.73,8.29,7.68,8.11,18385405,7.73,8.29,7.68,8.11,18385405,0.0,1.0
2024-05-13 00:00:00+00:00,8.09,8.43,7.92,7.92,18575241,8.09,8.43,7.92,7.92,18575241,0.0,1.0
2024-05-14 00:00:00+00:00,8.28,8.29,8.03,8.06,10657194,8.28,8.29,8.03,8.06,10657194,0.0,1.0
